PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
22M27,1,training,60,↓,no_key,no_letter,-1.0,False,30
22M27,2,training,60,↑,no_key,no_letter,-1.0,False,30
22M27,3,training,60,↓,no_key,no_letter,-1.0,False,30
22M27,4,training,60,↓,left,←,1.722501399985049,False,30
22M27,5,training,60,↑,right,→,1.0529614000115544,False,30
22M27,6,training,60,↓,no_key,no_letter,-1.0,False,30
22M27,7,training,60,←,no_key,no_letter,-1.0,False,30
22M27,8,training,60,→,right,→,1.8676219999906607,True,30
22M27,9,training,60,→,right,→,0.7921791999833658,True,30
22M27,10,training,60,↑,up,↑,0.7682901999796741,True,30
22M27,11,training,60,↑,up,↑,0.777018400025554,True,30
22M27,12,training,60,↓,down,↓,0.7048957000370137,True,30
22M27,13,training,60,→,right,→,0.7804496000171639,True,30
22M27,14,training,60,→,right,→,0.500811799953226,True,30
22M27,15,training,60,↑,up,↑,0.8708534999750555,True,30
22M27,16,training,60,→,right,→,0.7078523000236601,True,30
22M27,17,training,60,←,left,←,0.7908088000258431,True,30
22M27,18,training,60,→,right,→,0.8467933999490924,True,30
22M27,19,training,60,→,right,→,0.6761032000067644,True,30
22M27,20,training,60,↑,up,↑,0.9122112999903038,True,30
22M27,21,training,60,←,left,←,1.653003700019326,True,18
22M27,22,training,60,←,left,←,1.2741062000277452,True,18
22M27,23,training,60,←,left,←,0.6468353000236675,True,18
22M27,24,training,60,→,right,→,0.8043709000339732,True,18
22M27,25,training,60,↓,down,↓,0.6437664999975823,True,18
22M27,26,training,60,↑,no_key,no_letter,-1.0,False,18
22M27,27,training,60,←,left,←,0.9057573999743909,True,18
22M27,28,training,60,↓,down,↓,0.8607292000087909,True,18
22M27,29,training,60,↓,down,↓,0.6337307000067085,True,18
22M27,30,training,60,↓,down,↓,0.783632899983786,True,18
22M27,31,training,60,←,left,←,0.6314702999661677,True,18
22M27,32,training,60,↑,up,↑,0.7255566999665461,True,18
22M27,33,training,60,↓,down,↓,0.8402153000351973,True,18
22M27,34,training,60,→,right,→,0.9340460000094026,True,18
22M27,35,training,60,←,left,←,0.5602021999657154,True,18
22M27,36,training,60,←,left,←,0.6087221999769099,True,18
22M27,37,training,60,→,right,→,0.6800127999740653,True,18
22M27,38,training,60,←,left,←,0.8121236999868415,True,18
22M27,39,training,60,↓,down,↓,0.7307301000109874,True,18
22M27,40,training,60,↑,up,↑,0.7406729999929667,True,18
22M27,41,training,19,↑,up,↑,0.8389129000133835,True,18
22M27,42,training,56,↓,down,↓,0.7361138999694958,True,18
22M27,43,experiment,47,→,left,←,0.739412099996116,False,18
22M27,44,experiment,32,←,left,←,0.5129343000007793,True,18
22M27,45,experiment,15,↓,down,↓,0.6427297000191174,True,18
22M27,46,experiment,25,←,left,←,0.6726825999794528,True,18
22M27,47,experiment,56,↑,down,↓,0.7766334000043571,False,18
22M27,48,experiment,34,←,left,←,0.6033254999783821,True,18
22M27,49,experiment,40,←,left,←,0.5207340000197291,True,18
22M27,50,experiment,19,↓,down,↓,0.6474065000074916,True,18
22M27,51,experiment,46,↓,down,↓,0.5348048000014387,True,18
22M27,52,experiment,54,→,right,→,0.9893158000195399,True,18
22M27,53,experiment,49,→,right,→,0.47760859999107197,True,18
22M27,54,experiment,14,←,left,←,0.8086205999716185,True,18
22M27,55,experiment,35,←,left,←,0.43401849997462705,True,18
22M27,56,experiment,22,↑,up,↑,0.5608090999885462,True,18
22M27,57,experiment,20,↓,down,↓,0.477348200045526,True,18
22M27,58,experiment,58,→,right,→,0.4678808999597095,True,18
22M27,59,experiment,24,←,left,←,0.5841315999859944,True,18
22M27,60,experiment,48,↓,down,↓,0.4016593000269495,True,18
22M27,61,experiment,28,↓,down,↓,0.4173107999959029,True,18
22M27,62,experiment,16,←,left,←,0.41722200001822785,True,18
22M27,63,experiment,27,→,left,←,1.1974099000217393,False,18
22M27,64,experiment,26,←,left,←,0.828132499998901,True,18
22M27,65,experiment,60,→,right,→,0.963280699972529,True,18
22M27,66,experiment,18,←,left,←,0.8245970999705605,True,18
22M27,67,experiment,45,↑,up,↑,0.8419770000036806,True,18
22M27,68,experiment,33,↓,left,←,0.48258969996823,False,18
22M27,69,experiment,31,↑,up,↑,0.594959799956996,True,18
