PART_ID,Trial_no,Trial_type,PDI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
A031K23,1,training,10,→,no_key,no_letter,-1.0,False,30
A031K23,2,training,10,←,up,↑,1.9821625000040513,False,30
A031K23,3,training,10,←,left,←,1.6238741999986814,True,30
A031K23,4,training,10,→,right,→,1.4447280999884242,True,30
A031K23,5,training,10,↓,down,↓,0.9647237999888603,True,30
A031K23,6,training,10,↓,down,↓,0.8315170999994734,True,30
A031K23,7,training,10,→,right,→,0.9666193000011845,True,30
A031K23,8,training,10,↑,down,↓,1.8309760999982245,False,30
A031K23,9,training,10,↓,down,↓,0.9387949000083609,True,30
A031K23,10,training,10,→,right,→,0.5671997999888845,True,30
A031K23,11,training,10,↑,down,↓,0.6005886000057217,False,30
A031K23,12,training,10,←,left,←,0.58359159999236,True,30
A031K23,13,training,10,↓,down,↓,0.7115003999933833,True,30
A031K23,14,training,10,←,left,←,1.4531782999983989,True,30
A031K23,15,training,10,←,left,←,0.9347719999932451,True,30
A031K23,16,training,10,←,left,←,0.6004620000021532,True,30
A031K23,17,training,10,↓,down,↓,0.8361694000050193,True,30
A031K23,18,training,10,→,right,→,0.8289234999974724,True,30
A031K23,19,training,10,→,right,→,0.9265546999959042,True,30
A031K23,20,training,10,↓,down,↓,0.6828045000002021,True,30
A031K23,21,training,10,→,right,→,0.5679895000066608,True,18
A031K23,22,training,10,↑,up,↑,0.9315103999979328,True,18
A031K23,23,training,10,↓,down,↓,0.5499939000001177,True,18
A031K23,24,training,10,↓,down,↓,0.6795532999967691,True,18
A031K23,25,training,10,↓,down,↓,0.4803111999935936,True,18
A031K23,26,training,10,→,right,→,0.8550725000095554,True,18
A031K23,27,training,10,→,right,→,0.8122139000042807,True,18
A031K23,28,training,10,←,left,←,0.6587939000019105,True,18
A031K23,29,training,10,←,left,←,0.7387371999939205,True,18
A031K23,30,training,10,↓,down,↓,0.6363186999951722,True,18
A031K23,31,training,72,←,left,←,0.802204099993105,True,15
A031K23,32,training,24,↑,down,↓,1.4339750000071945,False,15
A031K23,33,training,84,↓,up,↑,0.9431397000007564,False,15
A031K23,34,experiment,132,↑,left,←,1.6669910000055097,False,15
A031K23,35,experiment,108,↑,up,↑,0.7514295000000857,True,15
A031K23,36,experiment,144,↑,up,↑,0.9105730000010226,True,15
A031K23,37,experiment,108,↑,up,↑,0.9817400000029011,True,15
A031K23,38,experiment,24,↑,no_key,no_letter,-1.0,False,15
A031K23,39,experiment,120,↑,down,↓,0.7997975000034785,False,15
A031K23,40,experiment,72,→,left,←,0.9152238999959081,False,15
A031K23,41,experiment,12,↓,right,→,1.3623067000007723,False,15
A031K23,42,experiment,84,→,up,↑,1.6445223000046099,False,15
A031K23,43,experiment,168,↑,left,←,1.6695449999970151,False,15
A031K23,44,experiment,24,←,left,←,0.7895466000045417,True,15
A031K23,45,experiment,84,→,right,→,0.7902546999976039,True,15
A031K23,46,experiment,144,←,left,←,0.7967806999949971,True,15
A031K23,47,experiment,180,↑,up,↑,1.7757010999921476,True,15
A031K23,48,experiment,48,←,no_key,no_letter,-1.0,False,15
A031K23,49,experiment,84,↑,up,↑,1.356943399994634,True,15
A031K23,50,experiment,36,←,no_key,no_letter,-1.0,False,15
A031K23,51,experiment,108,↑,up,↑,0.5644202999974368,True,15
A031K23,52,experiment,180,↓,up,↑,1.3631688000023132,False,15
A031K23,53,experiment,156,↓,no_key,no_letter,-1.0,False,15
A031K23,54,experiment,156,←,left,←,0.7252560000051744,True,15
