PART_ID,Trial_no,Trial_type,PDI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
A015M23,1,training,10,↓,no_key,no_letter,-1.0,False,30
A015M23,2,training,10,←,no_key,no_letter,-1.0,False,30
A015M23,3,training,10,←,left,←,0.7771739000163507,True,30
A015M23,4,training,10,→,left,←,0.48384420000365935,False,30
A015M23,5,training,10,↓,left,←,1.2860414999886416,False,30
A015M23,6,training,10,←,left,←,0.6798946000053547,True,30
A015M23,7,training,10,←,left,←,0.6004109999921639,True,30
A015M23,8,training,10,←,left,←,0.6338082000147551,True,30
A015M23,9,training,10,↓,right,→,0.8814038000127766,False,30
A015M23,10,training,10,→,left,←,0.9190575999964494,False,30
A015M23,11,training,10,↑,no_key,no_letter,-1.0,False,30
A015M23,12,training,10,←,left,←,0.7175203000078909,True,30
A015M23,13,training,10,↓,down,↓,0.7987625999958254,True,30
A015M23,14,training,10,↑,down,↓,0.6338472999923397,False,30
A015M23,15,training,10,↓,no_key,no_letter,-1.0,False,30
A015M23,16,training,10,←,left,←,0.689535400015302,True,30
A015M23,17,training,10,↑,up,↑,0.7044626999995671,True,30
A015M23,18,training,10,←,left,←,0.6004638999875169,True,30
A015M23,19,training,10,→,right,→,0.6335696000023745,True,30
A015M23,20,training,10,↑,no_key,no_letter,-1.0,False,30
A015M23,21,training,10,↑,no_key,no_letter,-1.0,False,18
A015M23,22,training,10,↑,left,←,0.5685249000089243,False,18
A015M23,23,training,10,←,left,←,0.5793529000075068,True,18
A015M23,24,training,10,↑,no_key,no_letter,-1.0,False,18
A015M23,25,training,10,↑,no_key,no_letter,-1.0,False,18
A015M23,26,training,10,→,right,→,0.5727427999954671,True,18
A015M23,27,training,10,↓,up,↑,1.1998181999952067,False,18
A015M23,28,training,10,↓,right,→,0.9262081000197213,False,18
A015M23,29,training,10,↑,up,↑,0.5480824999976903,True,18
A015M23,30,training,10,↓,down,↓,0.6370122999942396,True,18
A015M23,31,training,48,↓,down,↓,0.5697223000170197,True,15
A015M23,32,training,96,↓,down,↓,0.5577634999935981,True,15
A015M23,33,training,84,→,down,↓,0.9851733999967109,False,15
A015M23,34,experiment,36,↓,down,↓,0.6458648999978323,True,15
A015M23,35,experiment,156,→,down,↓,0.8597789999912493,False,15
A015M23,36,experiment,60,←,right,→,0.8447182000090834,False,15
A015M23,37,experiment,24,↓,down,↓,0.5883848999801558,True,15
A015M23,38,experiment,156,→,right,→,0.7452885999809951,True,15
A015M23,39,experiment,60,←,left,←,0.5615858000237495,True,15
A015M23,40,experiment,168,←,left,←,0.6215044999844395,True,15
A015M23,41,experiment,144,↓,down,↓,0.5221427000069525,True,15
A015M23,42,experiment,132,←,left,←,0.5069825999962632,True,15
A015M23,43,experiment,48,↑,left,←,1.0134116999979597,False,15
A015M23,44,experiment,120,←,left,←,0.605433599994285,True,15
A015M23,45,experiment,180,↓,left,←,0.4439759000088088,False,15
A015M23,46,experiment,12,↓,left,←,0.7226113000069745,False,15
A015M23,47,experiment,84,↑,no_key,no_letter,-1.0,False,15
A015M23,48,experiment,60,→,down,↓,0.6042764000012539,False,15
A015M23,49,experiment,168,↑,down,↓,0.44814639998367056,False,15
A015M23,50,experiment,96,↑,down,↓,0.6650473000190686,False,15
A015M23,51,experiment,132,←,left,←,0.7352243999775965,True,15
A015M23,52,experiment,108,↓,down,↓,0.9013524000183679,True,15
A015M23,53,experiment,96,→,left,←,0.5409310999966692,False,15
A015M23,54,experiment,120,↑,down,↓,0.5771001999964938,False,15
A015M23,55,experiment,60,↓,right,→,0.5225258999853395,False,15
A015M23,56,experiment,12,↑,up,↑,0.7421946999966167,True,15
A015M23,57,experiment,12,←,no_key,no_letter,-1.0,False,15
A015M23,58,experiment,108,↓,up,↑,0.7963943000067957,False,15
A015M23,59,experiment,48,↓,down,↓,0.6121978999872226,True,15
A015M23,60,experiment,108,→,left,←,0.4926731000014115,False,15
A015M23,61,experiment,72,←,left,←,0.5446744000073522,True,15
A015M23,62,experiment,84,↑,right,→,0.594711699988693,False,15
A015M23,63,experiment,84,←,left,←,0.5195317000034265,True,15
A015M23,64,experiment,144,↑,left,←,0.7097433999879286,False,15
A015M23,65,experiment,12,↑,no_key,no_letter,-1.0,False,15
A015M23,66,experiment,156,→,left,←,0.5202957000001334,False,15
A015M23,67,experiment,156,↑,right,→,1.1330822999880183,False,15
A015M23,68,experiment,144,↓,left,←,0.45792590000201017,False,15
A015M23,69,experiment,72,←,left,←,0.5599631000077352,True,15
A015M23,70,experiment,180,→,right,→,0.6115151999983937,True,15
A015M23,71,experiment,168,→,right,→,0.639434299984714,True,15
A015M23,72,experiment,108,←,left,←,0.6851812999811955,True,15
A015M23,73,experiment,84,←,left,←,0.6099710000271443,True,15
A015M23,74,experiment,96,↑,right,→,0.697958499978995,False,15
A015M23,75,experiment,36,↓,left,←,0.7255055000132415,False,15
A015M23,76,experiment,48,→,left,←,0.6503654000116512,False,15
A015M23,77,experiment,120,↓,no_key,no_letter,-1.0,False,15
A015M23,78,experiment,36,←,left,←,0.5888854999793693,True,15
A015M23,79,experiment,180,←,left,←,0.5172092000138946,True,15
A015M23,80,experiment,168,↑,left,←,0.6694237999909092,False,15
A015M23,81,experiment,36,↑,down,↓,1.2625793000042904,False,15
A015M23,82,experiment,132,↑,no_key,no_letter,-1.0,False,15
A015M23,83,experiment,48,↓,up,↑,0.5064791000040714,False,15
A015M23,84,experiment,24,↑,up,↑,0.48658050000085495,True,15
A015M23,85,experiment,180,↑,up,↑,0.6146029999945313,True,15
A015M23,86,experiment,72,↓,up,↑,0.7444771000009496,False,15
A015M23,87,experiment,72,←,left,←,0.5737679000012577,True,15
A015M23,88,experiment,24,←,no_key,no_letter,-1.0,False,15
A015M23,89,experiment,144,←,left,←,0.8090237000142224,True,15
A015M23,90,experiment,96,↑,up,↑,0.7187988999939989,True,15
A015M23,91,experiment,132,↓,left,←,0.9505859999917448,False,15
A015M23,92,experiment,120,↑,left,←,0.6036312999785878,False,15
A015M23,93,experiment,24,←,left,←,0.88268509999034,True,15
A015M23,94,training,12,↓,no_key,no_letter,-1.0,False,16
A015M23,95,training,156,↑,right,→,0.7759580999845639,False,16
A015M23,96,training,180,→,left,←,0.9919517999805976,False,16
A015M23,97,experiment,72,→,right,→,0.639154900010908,True,16
A015M23,98,experiment,132,↓,left,←,0.7583265000139363,False,16
A015M23,99,experiment,168,←,left,←,0.6686642999993637,True,16
A015M23,100,experiment,36,↓,down,↓,0.5807623000000603,True,16
A015M23,101,experiment,168,↓,down,↓,0.6662152000062633,True,16
A015M23,102,experiment,108,→,right,→,0.59993750002468,True,16
A015M23,103,experiment,60,←,left,←,0.5006346000009216,True,16
A015M23,104,experiment,48,→,right,→,0.7276010999921709,True,16
A015M23,105,experiment,48,↓,down,↓,0.5935182000102941,True,16
A015M23,106,experiment,132,↓,down,↓,0.5278540000144858,True,16
A015M23,107,experiment,120,←,left,←,0.5708891999965999,True,16
A015M23,108,experiment,72,↓,down,↓,0.4953224000055343,True,16
A015M23,109,experiment,144,↓,down,↓,0.6097448000218719,True,16
A015M23,110,experiment,96,←,left,←,0.5656386000046041,True,16
A015M23,111,experiment,84,→,left,←,0.6975010999885853,False,16
A015M23,112,experiment,156,↓,down,↓,0.611261399986688,True,16
A015M23,113,experiment,156,←,left,←,0.595789999992121,True,16
A015M23,114,experiment,180,↑,up,↑,0.6214558999927249,True,16
A015M23,115,experiment,180,←,left,←,0.4613115999964066,True,16
A015M23,116,experiment,60,↓,down,↓,0.8370129000104498,True,16
A015M23,117,experiment,12,→,right,→,0.6481812999991234,True,16
A015M23,118,experiment,144,↑,up,↑,0.691846000001533,True,16
A015M23,119,experiment,72,↓,down,↓,0.5979858999780845,True,16
A015M23,120,experiment,96,←,left,←,0.5375181999988854,True,16
A015M23,121,experiment,168,↓,no_key,no_letter,-1.0,False,16
A015M23,122,experiment,108,↓,down,↓,0.6342580000055023,True,16
A015M23,123,experiment,12,↓,no_key,no_letter,-1.0,False,16
A015M23,124,experiment,120,↑,no_key,no_letter,-1.0,False,16
A015M23,125,experiment,156,↓,down,↓,0.804250300017884,True,16
A015M23,126,experiment,48,↓,left,←,0.7635302999988198,False,16
A015M23,127,experiment,24,→,right,→,0.736894100002246,True,16
A015M23,128,experiment,180,↑,up,↑,0.7216935000033118,True,16
A015M23,129,experiment,144,↓,down,↓,0.6002282999979798,True,16
A015M23,130,experiment,12,↓,no_key,no_letter,-1.0,False,16
A015M23,131,experiment,84,↓,down,↓,0.7271365000051446,True,16
A015M23,132,experiment,60,↓,down,↓,0.6070517000043765,True,16
A015M23,133,experiment,156,↓,up,↑,0.8236557000200264,False,16
A015M23,134,experiment,24,↓,down,↓,0.7493743000086397,True,16
A015M23,135,experiment,36,→,right,→,0.6546394000179134,True,16
A015M23,136,experiment,48,←,left,←,0.7588885000150185,True,16
A015M23,137,experiment,84,←,left,←,0.6282125000143424,True,16
A015M23,138,experiment,180,↑,no_key,no_letter,-1.0,False,16
A015M23,139,experiment,108,→,right,→,0.68762229999993,True,16
A015M23,140,experiment,36,→,left,←,0.7383139000157826,False,16
A015M23,141,experiment,120,→,right,→,0.6547062000026926,True,16
A015M23,142,experiment,168,↑,no_key,no_letter,-1.0,False,16
A015M23,143,experiment,72,←,no_key,no_letter,-1.0,False,16
A015M23,144,experiment,120,↓,no_key,no_letter,-1.0,False,16
A015M23,145,experiment,24,↑,right,→,0.9837665000231937,False,16
A015M23,146,experiment,132,←,right,→,0.5844933999760542,False,16
A015M23,147,experiment,24,←,left,←,0.6998491999984253,True,16
A015M23,148,experiment,144,↓,down,↓,0.7455902000074275,True,16
A015M23,149,experiment,12,↓,no_key,no_letter,-1.0,False,16
A015M23,150,experiment,132,←,left,←,0.6006117000069935,True,16
A015M23,151,experiment,36,↑,up,↑,0.7295931999979075,True,16
A015M23,152,experiment,96,←,left,←,0.5808047000027727,True,16
A015M23,153,experiment,108,→,right,→,0.7125471000035759,True,16
A015M23,154,experiment,96,→,right,→,0.6148061999992933,True,16
A015M23,155,experiment,60,↑,down,↓,1.031006500008516,False,16
A015M23,156,experiment,84,→,right,→,0.5911405999795534,True,16
A015M23,157,training,168,→,no_key,no_letter,-1.0,False,16
A015M23,158,training,60,←,left,←,0.6561210999789182,True,16
A015M23,159,training,60,↓,no_key,no_letter,-1.0,False,16
A015M23,160,experiment,60,←,right,→,0.6726102999818977,False,16
A015M23,161,experiment,84,↑,up,↑,0.6578562999784481,True,16
A015M23,162,experiment,180,→,right,→,0.5678607000154443,True,16
A015M23,163,experiment,132,←,left,←,0.6813048000039998,True,16
A015M23,164,experiment,36,↓,no_key,no_letter,-1.0,False,16
A015M23,165,experiment,108,↑,up,↑,0.6367021999903955,True,16
A015M23,166,experiment,168,↓,down,↓,0.702049600018654,True,16
A015M23,167,experiment,96,↑,up,↑,0.6229863000044134,True,16
A015M23,168,experiment,48,↑,left,←,0.8089241999841761,False,16
A015M23,169,experiment,144,→,right,→,0.6747078000043985,True,16
A015M23,170,experiment,72,↓,down,↓,0.7095644999935757,True,16
A015M23,171,experiment,132,←,no_key,no_letter,-1.0,False,16
A015M23,172,experiment,48,→,left,←,0.716435200010892,False,16
A015M23,173,experiment,48,→,right,→,0.5519319000013638,True,16
A015M23,174,experiment,132,↓,right,→,0.7568169000151101,False,16
A015M23,175,experiment,96,↓,no_key,no_letter,-1.0,False,16
A015M23,176,experiment,48,↑,up,↑,0.7236166000075173,True,16
A015M23,177,experiment,108,←,left,←,0.5675102999957744,True,16
A015M23,178,experiment,180,←,left,←,0.5828469999833032,True,16
A015M23,179,experiment,168,↓,no_key,no_letter,-1.0,False,16
A015M23,180,experiment,96,←,no_key,no_letter,-1.0,False,16
A015M23,181,experiment,96,←,left,←,0.4913161000004038,True,16
A015M23,182,experiment,12,↑,up,↑,0.6750618999940343,True,16
A015M23,183,experiment,168,↓,right,→,0.6945499000139534,False,16
A015M23,184,experiment,84,←,left,←,0.6153431000129785,True,16
A015M23,185,experiment,72,↓,down,↓,0.5293672000116203,True,16
A015M23,186,experiment,60,→,right,→,0.6673898999870289,True,16
A015M23,187,experiment,12,↓,no_key,no_letter,-1.0,False,16
A015M23,188,experiment,60,↑,up,↑,0.6535922999901231,True,16
A015M23,189,experiment,24,←,no_key,no_letter,-1.0,False,16
A015M23,190,experiment,120,↓,down,↓,0.635368399991421,True,16
A015M23,191,experiment,156,←,left,←,0.7691296999983024,True,16
