sub task y
1 1 59.49
1 1 23.59
2 1 52.99
2 1 110.77
3 1 43.76
3 1 53.68
4 1 35.56
4 1 42.39
5 1 51.28
5 1 36.92
6 1 52.31
6 1 41.71
7 1 40.34
7 1 58.8
8 1 55.38
8 1 66.32
9 1 36.58
9 1 39.66
10 1 38.63
10 1 41.03
11 1 46.15
11 1 42.39
12 1 50.94
12 1 38.29
13 1 36.92
13 1 54.36
14 1 37.95
14 1 58.12
15 1 41.03
15 1 32.14
16 1 33.16
16 1 40.34
17 1 52.31
17 1 41.71
18 1 60.51
18 1 62.91
19 1 80
19 1 85.47
20 1 52.99
20 1 30.77
21 1 45.13
21 1 35.56
22 1 37.26
22 1 48.21
23 1 40.34
23 1 49.57
24 1 48.89
24 1 47.52
25 1 37.26
25 1 41.03
1 2 66.32
1 2 76.58
2 2 187.35
2 2 188.38
3 2 87.18
3 2 59.15
4 2 80.68
4 2 79.32
5 2 100.17
5 2 160.34
6 2 76.92
6 2 82.05
7 2 106.67
7 2 106.67
8 2 151.45
8 2 90.26
9 2 72.82
9 2 85.47
10 2 84.1
10 2 74.87
11 2 86.15
11 2 69.4
12 2 96.41
12 2 81.03
13 2 61.2
13 2 63.59
14 2 94.36
14 2 98.12
15 2 47.86
15 2 40.34
16 2 87.18
16 2 89.91
17 2 148.38
17 2 148.03
18 2 135.73
18 2 164.1
19 2 180.17
19 2 161.03
20 2 75.21
20 2 56.07
21 2 112.82
21 2 40.68
22 2 82.74
22 2 66.67
23 2 80
23 2 103.59
24 2 133.33
24 2 121.03
25 2 105.64
25 2 67.01
