PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2B-PI0804K24,1,training,10,←,no_key,no_letter,-1.0,False,63
2B-PI0804K24,2,training,10,→,right,→,0.5337330000184011,True,63
2B-PI0804K24,3,training,10,→,right,→,0.6504052000236697,True,63
2B-PI0804K24,4,training,10,↓,right,→,0.5674129000108223,False,63
2B-PI0804K24,5,training,10,↓,down,↓,0.6519281000073534,True,63
2B-PI0804K24,6,training,10,↑,up,↑,0.5338606000004802,True,63
2B-PI0804K24,7,training,10,↑,up,↑,0.600570799986599,True,63
2B-PI0804K24,8,training,10,→,right,→,0.6171166999847628,True,63
2B-PI0804K24,9,experiment,29,←,left,←,0.8005454000085592,True,63
2B-PI0804K24,10,experiment,22,←,left,←,0.8006381999875885,True,63
2B-PI0804K24,11,experiment,25,→,right,→,0.7838292999949772,True,63
2B-PI0804K24,12,experiment,27,↑,up,↑,0.683943799987901,True,63
2B-PI0804K24,13,experiment,19,↓,down,↓,0.9026423000032082,True,63
2B-PI0804K24,14,experiment,24,↓,down,↓,0.802129200019408,True,63
2B-PI0804K24,15,experiment,13,↑,up,↑,0.9170678000082262,True,63
2B-PI0804K24,16,experiment,30,↓,no_key,no_letter,-1.0,False,63
2B-PI0804K24,17,experiment,14,←,left,←,0.7506334999925457,True,63
2B-PI0804K24,18,experiment,26,→,right,→,0.7838316000124905,True,63
2B-PI0804K24,19,experiment,21,↓,down,↓,0.6505050000268966,True,63
2B-PI0804K24,20,experiment,16,↑,up,↑,0.7004379999998491,True,63
2B-PI0804K24,21,experiment,31,→,right,→,0.8172491999866907,True,63
2B-PI0804K24,22,experiment,17,↑,up,↑,0.5857014000066556,True,63
2B-PI0804K24,23,experiment,20,↑,up,↑,0.6006188999745063,True,63
2B-PI0804K24,24,experiment,15,→,right,→,0.683772799995495,True,63
2B-PI0804K24,25,experiment,18,↑,up,↑,0.633824899996398,True,63
2B-PI0804K24,26,experiment,23,↑,up,↑,0.7339285000052769,True,63
2B-PI0804K24,27,experiment,28,←,left,←,0.750467599980766,True,63
2B-PI0804K24,28,experiment,16,↑,up,↑,0.617028799984837,True,58
2B-PI0804K24,29,experiment,20,↑,up,↑,0.5853045000112616,True,58
2B-PI0804K24,30,experiment,26,←,left,←,0.767128400009824,True,58
2B-PI0804K24,31,experiment,27,↑,up,↑,0.6003789000096731,True,58
2B-PI0804K24,32,experiment,13,→,no_key,no_letter,-1.0,False,58
2B-PI0804K24,33,experiment,23,←,left,←,0.5190902999893297,True,58
2B-PI0804K24,34,experiment,17,←,left,←,0.5503922000061721,True,58
2B-PI0804K24,35,experiment,19,↑,up,↑,0.6005273000046145,True,58
2B-PI0804K24,36,experiment,25,↑,right,→,0.6358726000180468,False,58
2B-PI0804K24,37,experiment,15,→,right,→,0.8837590000184719,True,58
2B-PI0804K24,38,experiment,22,→,right,→,0.5673355000035372,True,58
2B-PI0804K24,39,experiment,14,→,right,→,0.8338613999949303,True,58
2B-PI0804K24,40,experiment,28,←,left,←,0.6836494999879505,True,58
2B-PI0804K24,41,experiment,31,←,left,←,0.8837950000015553,True,58
2B-PI0804K24,42,experiment,30,↓,down,↓,0.7511398000060581,True,58
2B-PI0804K24,43,experiment,24,↓,down,↓,0.6355587000143714,True,58
2B-PI0804K24,44,experiment,18,↓,down,↓,0.5671646999835502,True,58
2B-PI0804K24,45,experiment,29,↓,down,↓,0.4839166000019759,True,58
2B-PI0804K24,46,experiment,21,→,right,→,0.800560100004077,True,58
2B-PI0804K24,47,experiment,14,←,left,←,0.6502833999984432,True,53
2B-PI0804K24,48,experiment,15,↓,no_key,no_letter,-1.0,False,53
2B-PI0804K24,49,experiment,18,→,right,→,0.7003447999886703,True,53
2B-PI0804K24,50,experiment,29,↓,no_key,no_letter,-1.0,False,53
2B-PI0804K24,51,experiment,28,←,left,←,0.6002145999809727,True,53
2B-PI0804K24,52,experiment,20,↓,no_key,no_letter,-1.0,False,53
2B-PI0804K24,53,experiment,31,↑,up,↑,0.8338130000047386,True,53
2B-PI0804K24,54,experiment,22,↓,down,↓,0.8006091999995988,True,53
2B-PI0804K24,55,experiment,17,↑,up,↑,0.6857606999983545,True,53
2B-PI0804K24,56,experiment,24,←,left,←,0.8337370999797713,True,53
2B-PI0804K24,57,experiment,21,←,left,←,0.717167700000573,True,53
2B-PI0804K24,58,experiment,23,↓,no_key,no_letter,-1.0,False,53
2B-PI0804K24,59,experiment,13,↓,down,↓,0.6505671000049915,True,53
2B-PI0804K24,60,experiment,27,↑,up,↑,0.6670979000045918,True,53
2B-PI0804K24,61,experiment,19,→,right,→,0.5005049000028521,True,53
2B-PI0804K24,62,experiment,30,→,right,→,0.7837600999919232,True,53
2B-PI0804K24,63,experiment,25,↓,down,↓,0.5836913000093773,True,53
2B-PI0804K24,64,experiment,16,←,left,←,0.7673743999912404,True,53
2B-PI0804K24,65,experiment,26,←,left,←,0.5337776999804191,True,53
2B-PI0804K24,66,experiment,24,←,left,←,0.3836466000066139,True,69
2B-PI0804K24,67,experiment,15,↑,up,↑,0.6838562999910209,True,69
2B-PI0804K24,68,experiment,30,↓,down,↓,0.5514158000005409,True,69
2B-PI0804K24,69,experiment,22,←,left,←,0.600468099990394,True,69
2B-PI0804K24,70,experiment,28,←,left,←,0.5006772000051569,True,69
2B-PI0804K24,71,experiment,14,→,right,→,0.9840608999948017,True,69
2B-PI0804K24,72,experiment,23,↑,up,↑,0.7503553999995347,True,69
2B-PI0804K24,73,experiment,31,→,right,→,0.8337886000226717,True,69
2B-PI0804K24,74,experiment,27,↓,down,↓,0.7172091999964323,True,69
2B-PI0804K24,75,experiment,29,↑,up,↑,0.9004451000073459,True,69
2B-PI0804K24,76,experiment,17,←,left,←,0.8670811000047252,True,69
2B-PI0804K24,77,experiment,13,→,right,→,0.6839464000076987,True,69
2B-PI0804K24,78,experiment,26,↓,down,↓,0.8002987999934703,True,69
2B-PI0804K24,79,experiment,16,→,right,→,0.866826100012986,True,69
2B-PI0804K24,80,experiment,25,↑,up,↑,0.8836619000067003,True,69
2B-PI0804K24,81,experiment,19,↑,up,↑,0.583634799986612,True,69
2B-PI0804K24,82,experiment,20,→,right,→,0.48382230001152493,True,69
2B-PI0804K24,83,experiment,21,→,right,→,0.5505466999893542,True,69
2B-PI0804K24,84,experiment,18,↑,up,↑,0.7672470999823418,True,69
2B-PI0804K24,85,experiment,22,↑,up,↑,0.7670026000123471,True,64
2B-PI0804K24,86,experiment,14,↑,right,→,0.8007297999865841,False,64
2B-PI0804K24,87,experiment,26,↑,up,↑,0.750550500000827,True,64
2B-PI0804K24,88,experiment,27,↓,down,↓,0.9671725000080187,True,64
2B-PI0804K24,89,experiment,16,←,left,←,0.8173563999880571,True,64
2B-PI0804K24,90,experiment,30,→,right,→,0.5838776000018697,True,64
2B-PI0804K24,91,experiment,15,→,right,→,0.785559000010835,True,64
2B-PI0804K24,92,experiment,28,↓,down,↓,0.6672156999993604,True,64
2B-PI0804K24,93,experiment,23,↑,up,↑,0.5337800999986939,True,64
2B-PI0804K24,94,experiment,19,↑,up,↑,0.5004269999917597,True,64
2B-PI0804K24,95,experiment,17,←,left,←,0.5839553999830969,True,64
2B-PI0804K24,96,experiment,20,→,right,→,0.717065900011221,True,64
2B-PI0804K24,97,experiment,24,↑,up,↑,0.9172719999914989,True,64
2B-PI0804K24,98,experiment,18,↑,up,↑,0.7336347000091337,True,64
2B-PI0804K24,99,experiment,29,↓,down,↓,0.9504958000034094,True,64
2B-PI0804K24,100,experiment,25,←,left,←,0.53398659999948,True,64
2B-PI0804K24,101,experiment,21,↓,down,↓,0.6838638999906834,True,64
2B-PI0804K24,102,experiment,31,←,left,←,0.583870400005253,True,64
2B-PI0804K24,103,experiment,13,→,right,→,0.7690528999955859,True,64
2B-PI0804K24,104,experiment,18,→,right,→,0.5338970000157133,True,59
2B-PI0804K24,105,experiment,24,→,right,→,0.46687140001449734,True,59
2B-PI0804K24,106,experiment,27,→,right,→,0.7838294999965001,True,59
2B-PI0804K24,107,experiment,26,←,left,←,0.7034088999789674,True,59
2B-PI0804K24,108,experiment,30,↓,down,↓,0.6505864000064321,True,59
2B-PI0804K24,109,experiment,22,↑,right,→,0.667263199982699,False,59
2B-PI0804K24,110,experiment,21,←,left,←,0.8339091999805532,True,59
2B-PI0804K24,111,experiment,14,←,left,←,0.9170772999932524,True,59
2B-PI0804K24,112,experiment,20,↓,down,↓,0.6504608000104781,True,59
2B-PI0804K24,113,experiment,17,↑,no_key,no_letter,-1.0,False,59
2B-PI0804K24,114,experiment,15,←,left,←,0.817082699999446,True,59
2B-PI0804K24,115,experiment,23,→,right,→,0.8005269000132103,True,59
2B-PI0804K24,116,experiment,31,↑,up,↑,0.7838186000008136,True,59
2B-PI0804K24,117,experiment,29,↓,down,↓,0.7837623000086751,True,59
2B-PI0804K24,118,experiment,25,↑,up,↑,0.5171809000021312,True,59
2B-PI0804K24,119,experiment,16,↓,down,↓,0.9355360000045039,True,59
2B-PI0804K24,120,experiment,19,←,left,←,0.7171959999832325,True,59
2B-PI0804K24,121,experiment,28,→,right,→,0.7504215000080876,True,59
2B-PI0804K24,122,experiment,13,↑,up,↑,0.8019365000072867,True,59
2B-PI0804K24,123,experiment,30,↓,no_key,no_letter,-1.0,False,54
2B-PI0804K24,124,experiment,16,↑,up,↑,0.700531399983447,True,54
2B-PI0804K24,125,experiment,13,→,right,→,0.8004495000059251,True,54
2B-PI0804K24,126,experiment,22,↑,up,↑,0.5668503000051714,True,54
2B-PI0804K24,127,experiment,27,→,right,→,0.8337095000024419,True,54
2B-PI0804K24,128,experiment,18,↓,down,↓,0.7353174999880139,True,54
2B-PI0804K24,129,experiment,28,↑,no_key,no_letter,-1.0,False,54
2B-PI0804K24,130,experiment,19,←,left,←,0.5505455000093207,True,54
2B-PI0804K24,131,experiment,25,→,right,→,0.5670678000024054,True,54
2B-PI0804K24,132,experiment,14,↑,up,↑,0.7836364000104368,True,54
2B-PI0804K24,133,experiment,26,→,right,→,0.7839459000097122,True,54
2B-PI0804K24,134,experiment,23,↓,no_key,no_letter,-1.0,False,54
2B-PI0804K24,135,experiment,29,→,right,→,0.5337914999981876,True,54
2B-PI0804K24,136,experiment,31,←,left,←,0.6005145999952219,True,54
