PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,nDropped
AK-K-23K23S1,1,training,120,←,right,→,0.7484476999961771,False,60,1
AK-K-23K23S1,2,training,120,↑,left,←,0.4019783000112511,False,60,0
AK-K-23K23S1,3,training,120,←,up,↑,0.46884269994916394,False,60,0
AK-K-23K23S1,4,training,120,←,left,←,0.9316122999880463,True,60,0
AK-K-23K23S1,5,training,120,→,left,←,0.9409543999936432,False,60,0
AK-K-23K23S1,6,training,120,→,right,→,0.5926005000364967,True,60,0
AK-K-23K23S1,7,training,120,↑,up,↑,0.5673391000018455,True,60,0
AK-K-23K23S1,8,training,120,→,right,→,0.8053065999993123,True,60,0
AK-K-23K23S1,9,training,120,↑,up,↑,0.7719996999949217,True,60,0
AK-K-23K23S1,10,training,120,↑,up,↑,0.7242818999802694,True,60,0
AK-K-23K23S1,11,training,120,→,right,→,0.5594786999863572,True,60,0
AK-K-23K23S1,12,training,120,↑,left,←,0.319201200036332,False,60,0
AK-K-23K23S1,13,training,120,→,right,→,0.4924571000155993,True,60,0
AK-K-23K23S1,14,training,120,←,right,→,0.5338378000305966,False,60,0
AK-K-23K23S1,15,training,120,→,right,→,0.4849905999726616,True,60,0
AK-K-23K23S1,16,training,120,↑,up,↑,0.5588082999456674,True,60,0
AK-K-23K23S1,17,training,120,→,right,→,0.5003867999766953,True,60,0
AK-K-23K23S1,18,training,120,←,right,→,0.35984069999540225,False,60,0
AK-K-23K23S1,19,training,120,↑,up,↑,0.42684299999382347,True,60,0
AK-K-23K23S1,20,training,120,→,right,→,0.44361070002196357,True,60,0
AK-K-23K23S1,21,no_adaptation,120,→,right,→,0.7294872000347823,True,36,0
AK-K-23K23S1,22,no_adaptation,120,↑,up,↑,0.49924279999686405,True,36,0
AK-K-23K23S1,23,no_adaptation,120,↓,up,↑,0.43396790005499497,False,36,0
AK-K-23K23S1,24,no_adaptation,120,←,right,→,0.1691825999878347,False,36,0
AK-K-23K23S1,25,no_adaptation,120,→,right,→,0.5113273999886587,True,36,0
AK-K-23K23S1,26,no_adaptation,120,↑,up,↑,0.4110950999893248,True,36,0
AK-K-23K23S1,27,no_adaptation,120,←,right,→,0.5112395999603905,False,36,0
AK-K-23K23S1,28,no_adaptation,120,←,right,→,0.4276374999899417,False,36,0
AK-K-23K23S1,29,no_adaptation,120,→,no_key,no_letter,-1.0,False,36,0
AK-K-23K23S1,30,no_adaptation,120,←,left,←,0.268429699994158,True,36,0
AK-K-23K23S1,31,no_adaptation,120,↑,up,↑,0.6184431999572553,True,36,0
AK-K-23K23S1,32,no_adaptation,120,↑,no_key,no_letter,-1.0,False,36,0
AK-K-23K23S1,33,no_adaptation,120,→,right,→,0.4809569999924861,True,36,0
AK-K-23K23S1,34,no_adaptation,120,←,left,←,0.5478945000213571,True,36,0
AK-K-23K23S1,35,no_adaptation,120,→,no_key,no_letter,-1.0,False,36,0
AK-K-23K23S1,36,no_adaptation,120,↓,no_key,no_letter,-1.0,False,36,0
AK-K-23K23S1,37,no_adaptation,120,→,right,→,0.7495808000094257,True,36,0
AK-K-23K23S1,38,no_adaptation,120,↑,up,↑,0.42607530002715066,True,36,0
AK-K-23K23S1,39,no_adaptation,120,↓,up,↑,0.4845357000012882,False,36,0
AK-K-23K23S1,40,no_adaptation,120,↓,up,↑,1.0719689999823458,False,36,0
AK-K-23K23S1,41,training,76,→,right,→,0.6560825999476947,True,36,0
AK-K-23K23S1,42,training,51,↑,up,↑,0.4692205999745056,True,36,1
AK-K-23K23S1,43,experiment,88,←,left,←,0.5642460000235587,True,36,0
AK-K-23K23S1,44,experiment,59,→,right,→,0.4733129999949597,True,36,1
AK-K-23K23S1,45,experiment,53,↓,up,↑,0.8683520999620669,False,36,0
AK-K-23K23S1,46,experiment,101,↓,down,↓,0.6557837000000291,True,36,1
AK-K-23K23S1,47,experiment,66,←,left,←,0.53518319997238,True,36,1
AK-K-23K23S1,48,experiment,107,↓,down,↓,0.5418863000231795,True,36,1
