PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,nDropped
JP-M-23M23S1,1,training,120,↓,right,→,0.9620695000048727,False,60,0
JP-M-23M23S1,2,training,120,↑,up,↑,0.7724713999778032,True,60,0
JP-M-23M23S1,3,training,120,→,right,→,0.726252399967052,True,60,0
JP-M-23M23S1,4,training,120,↓,right,→,0.6817799001000822,False,60,0
JP-M-23M23S1,5,training,120,←,left,←,0.6505469999974594,True,60,0
JP-M-23M23S1,6,training,120,→,right,→,0.592024700017646,True,60,0
JP-M-23M23S1,7,training,120,↑,no_key,no_letter,-1.0,False,60,0
JP-M-23M23S1,8,training,120,←,left,←,0.6012996999779716,True,60,0
JP-M-23M23S1,9,training,120,↑,up,↑,0.7362362000858411,True,60,0
JP-M-23M23S1,10,training,120,↓,down,↓,0.7395220000762492,True,60,0
JP-M-23M23S1,11,training,120,↓,left,←,0.42667100008111447,False,60,0
JP-M-23M23S1,12,training,120,←,left,←,0.763191300095059,True,60,0
JP-M-23M23S1,13,training,120,↑,up,↑,0.6701288999756798,True,60,0
JP-M-23M23S1,14,training,120,←,left,←,0.6254754000110552,True,60,0
JP-M-23M23S1,15,training,120,↑,up,↑,0.7460484999464825,True,60,0
JP-M-23M23S1,16,training,120,←,left,←,0.64232790004462,True,60,0
JP-M-23M23S1,17,training,120,↓,down,↓,0.7233885999303311,True,60,0
JP-M-23M23S1,18,training,120,↑,up,↑,0.7034210000419989,True,60,0
JP-M-23M23S1,19,training,120,↑,up,↑,0.6173030000645667,True,60,0
JP-M-23M23S1,20,training,120,↓,down,↓,0.7156217999290675,True,60,0
JP-M-23M23S1,21,no_adaptation,120,↓,down,↓,0.5656253000488505,True,36,0
JP-M-23M23S1,22,no_adaptation,120,←,left,←,0.6633054000558332,True,36,0
JP-M-23M23S1,23,no_adaptation,120,→,down,↓,0.7493845999706537,False,36,0
JP-M-23M23S1,24,no_adaptation,120,↑,no_key,no_letter,-1.0,False,36,0
JP-M-23M23S1,25,no_adaptation,120,↓,right,→,1.2278129999758676,False,36,0
