PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,nDropped
LZ-K-20K20S2,1,training,120,↑,up,↑,0.795215800171718,True,60,0
LZ-K-20K20S2,2,training,120,↑,up,↑,0.5758809000253677,True,60,0
LZ-K-20K20S2,3,training,120,→,right,→,0.6258107000030577,True,60,0
LZ-K-20K20S2,4,training,120,↓,down,↓,1.1600653999485075,True,60,0
LZ-K-20K20S2,5,training,120,→,right,→,0.4684458998963237,True,60,0
LZ-K-20K20S2,6,training,120,↑,up,↑,0.5996580999344587,True,60,0
LZ-K-20K20S2,7,training,120,→,right,→,0.5425762999802828,True,60,0
LZ-K-20K20S2,8,training,120,←,left,←,0.7000651999842376,True,60,0
LZ-K-20K20S2,9,training,120,←,left,←,0.6088479000609368,True,60,0
LZ-K-20K20S2,10,training,120,→,no_key,no_letter,-1.0,False,60,0
LZ-K-20K20S2,11,training,120,←,left,←,0.5925100999884307,True,60,0
LZ-K-20K20S2,12,training,120,↑,up,↑,0.6505878998432308,True,60,0
LZ-K-20K20S2,13,training,120,↓,down,↓,0.7857816000469029,True,60,0
LZ-K-20K20S2,14,training,120,↓,down,↓,0.6424372000619769,True,60,0
LZ-K-20K20S2,15,training,120,↑,up,↑,0.7264318999368697,True,60,0
LZ-K-20K20S2,16,training,120,↓,down,↓,1.6004427000880241,True,60,0
LZ-K-20K20S2,17,training,120,↓,down,↓,0.7438052000943571,True,60,0
LZ-K-20K20S2,18,training,120,←,left,←,0.7291264999657869,True,60,0
LZ-K-20K20S2,19,training,120,→,right,→,0.7394613998476416,True,60,0
LZ-K-20K20S2,20,training,120,↓,down,↓,0.9965017000213265,True,60,0
LZ-K-20K20S2,21,no_adaptation,120,→,right,→,0.548220100114122,True,36,0
LZ-K-20K20S2,22,no_adaptation,120,→,right,→,0.5574845999944955,True,36,0
LZ-K-20K20S2,23,no_adaptation,120,→,right,→,0.5023866000119597,True,36,0
LZ-K-20K20S2,24,no_adaptation,120,↓,down,↓,0.608995399903506,True,36,0
LZ-K-20K20S2,25,no_adaptation,120,↓,down,↓,0.6958551001735032,True,36,0
