PART_ID,Trial,Stimuli,Training,FIXTIME,MTIME,Correct,SOA,Level,Reversal,Reversal_count,Latency,Rating
119K24,1,SQUARES,training,45,17,False,12,-,-,-,-1.0,-
119K24,2,SQUARES,training,45,17,True,12,-,-,-,1.3162811999209225,-
119K24,3,SQUARES,training,45,17,True,12,-,-,-,0.20036769984290004,-
119K24,4,SQUARES,training,45,17,True,12,-,-,-,0.08400820009410381,-
119K24,5,SQUARES,training,45,17,False,12,-,-,-,-1.0,-
119K24,6,SQUARES,training,45,17,True,12,-,-,-,0.05072239995934069,-
119K24,7,SQUARES,training,45,17,True,12,-,-,-,0.03386510000564158,-
119K24,8,SQUARES,training,45,17,True,12,-,-,-,2.4675493000540882,-
119K24,9,SQUARES,training,45,17,True,12,-,-,-,0.0005765999667346478,-
119K24,10,SQUARES,training,45,17,False,12,-,-,-,-1.0,-
119K24,11,SQUARES,training,45,17,True,6,-,-,-,0.36713999998755753,-
119K24,12,SQUARES,training,45,17,False,6,-,-,-,0.250176299829036,-
119K24,13,SQUARES,training,45,17,True,6,-,-,-,0.2006887998431921,-
119K24,14,SQUARES,training,45,17,True,6,-,-,-,0.10066560003906488,-
119K24,15,SQUARES,training,45,17,True,6,-,-,-,0.0339389001019299,-
119K24,16,SQUARES,training,45,17,True,6,-,-,-,0.40060939989052713,-
119K24,17,SQUARES,training,45,17,True,6,-,-,-,0.13401219993829727,-
119K24,18,SQUARES,training,45,17,True,6,-,-,-,0.050655300030484796,-
119K24,19,SQUARES,training,45,17,True,6,-,-,-,0.11731580016203225,-
119K24,20,SQUARES,training,45,17,True,6,-,-,-,0.0840102001093328,-
119K24,1,SQUARES,exp,45,17,True,6,0,0,0,0.41699060006067157,-
119K24,2,SQUARES,exp,45,17,True,6,1,0,-,0.08397009992040694,-
119K24,3,SQUARES,exp,45,17,True,5,1,0,-,0.36746959993615746,-
119K24,4,SQUARES,exp,45,17,True,5,1,0,-,0.7006602000910789,-
119K24,5,SQUARES,exp,45,17,True,4,1,0,-,0.43391559994779527,-
119K24,6,SQUARES,exp,45,17,False,4,-1,1,1,0.36732239997945726,-
119K24,7,SQUARES,exp,45,17,True,5,-1,0,-,0.500533499987796,-
119K24,8,SQUARES,exp,45,17,True,5,1,1,2,1.23397529986687,-
119K24,9,SQUARES,exp,45,17,True,4,1,0,-,0.4832828000653535,-
119K24,10,SQUARES,exp,45,17,True,4,1,0,-,0.4168845999520272,-
119K24,11,SQUARES,exp,45,17,True,3,1,0,-,0.36671780003234744,-
