PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count
086M34,1,1,PS,train,32,↓,down,↓,1.3870470999972895,True,30,-,-,-
086M34,1,2,PS,train,26,↑,no_key,no_letter,-1.0,False,30,-,-,-
086M34,1,3,PS,train,34,↓,down,↓,0.6172353000001749,True,30,-,-,-
086M34,1,4,PS,train,38,↑,no_key,no_letter,-1.0,False,30,-,-,-
086M34,1,5,PS,train,43,←,down,↓,0.33447890000388725,False,30,-,-,-
086M34,1,6,PS,train,26,↓,no_key,no_letter,-1.0,False,30,-,-,-
086M34,1,7,PS,train,38,→,right,→,0.742302099999506,True,30,-,-,-
086M34,1,8,PS,train,33,↑,up,↑,0.6845052999997279,True,30,-,-,-
086M34,1,9,PS,train,37,→,right,→,0.7478837999951793,True,30,-,-,-
086M34,1,10,PS,train,49,↓,down,↓,0.6339163999946322,True,30,-,-,-
086M34,2,11,AS,train,35,↑,up,↑,1.0612670999980764,True,45,-,-,-
086M34,2,12,AS,train,25,→,right,→,0.6679608999984339,True,45,-,-,-
086M34,2,13,AS,train,31,↑,up,↑,0.9181681000045501,True,45,-,-,-
086M34,2,14,AS,train,25,←,no_key,no_letter,-1.0,False,45,-,-,-
086M34,2,15,AS,train,35,↓,down,↓,0.8338437999991584,True,45,-,-,-
086M34,2,16,AS,train,44,←,left,←,0.6511862999977893,True,45,-,-,-
086M34,2,17,AS,train,45,↑,up,↑,0.8339223000002676,True,45,-,-,-
086M34,2,18,AS,train,46,→,right,→,1.016981599997962,True,45,-,-,-
086M34,2,19,AS,train,34,←,left,←,1.040162400000554,True,45,-,-,-
086M34,2,20,AS,train,38,↓,down,↓,0.8838673999998719,True,45,-,-,-
086M34,-,21,PS,adaptive,38,←,left,←,0.6988448999982211,True,10,0,0,0
086M34,-,22,PS,adaptive,48,↑,no_key,no_letter,-1.0,False,10,-1,0,0
086M34,-,23,PS,adaptive,45,←,left,←,0.5052622000002884,True,11,-1,0,0
086M34,-,24,PS,adaptive,36,↑,no_key,no_letter,-1.0,False,11,-1,0,0
086M34,-,25,PS,adaptive,48,↓,down,↓,0.5564283999992767,True,12,-1,0,0
086M34,-,26,PS,adaptive,38,←,left,←,0.6104584999993676,True,12,1,1,1
086M34,-,27,PS,adaptive,43,↑,no_key,no_letter,-1.0,False,11,-1,1,2
086M34,-,28,PS,adaptive,48,↓,down,↓,0.5600722000017413,True,12,-1,0,2
086M34,-,29,PS,adaptive,26,←,no_key,no_letter,-1.0,False,12,-1,0,2
086M34,-,30,PS,adaptive,34,↓,no_key,no_letter,-1.0,False,13,-1,0,2
086M34,-,31,PS,adaptive,28,↑,up,↑,0.4795446999996784,True,14,-1,0,2
086M34,-,32,PS,adaptive,33,→,no_key,no_letter,-1.0,False,14,-1,0,2
086M34,-,33,PS,adaptive,41,↓,down,↓,0.5078890000004321,True,15,-1,0,2
086M34,-,34,PS,adaptive,39,→,right,→,1.1284272999982932,True,15,1,1,3
086M34,-,35,PS,adaptive,43,↑,up,↑,0.45314459999644896,True,14,1,0,3
086M34,-,36,PS,adaptive,32,↓,down,↓,0.4568398000046727,True,14,1,0,3
086M34,-,37,PS,adaptive,39,←,up,↑,0.6633281000031275,False,13,-1,1,4
086M34,-,38,AS,adaptive,32,→,down,↓,0.5731980999989901,False,20,-1,0,0
086M34,-,39,AS,adaptive,33,←,left,←,0.530207399999199,True,21,-1,0,0
086M34,-,40,AS,adaptive,29,↑,up,↑,0.7063207999963197,True,21,1,1,1
086M34,-,41,AS,adaptive,32,←,left,←,0.5931306000056793,True,20,1,0,1
086M34,-,42,AS,adaptive,49,↓,down,↓,0.5479085000042687,True,20,1,0,1
086M34,-,43,AS,adaptive,41,→,right,→,0.698766000001342,True,19,1,0,1
086M34,-,44,AS,adaptive,41,↓,left,←,0.5178263999987394,False,19,-1,1,2
086M34,-,45,AS,adaptive,46,→,right,→,0.6538342999992892,True,20,-1,0,2
086M34,-,46,AS,adaptive,26,↑,right,→,0.6179993999976432,False,20,-1,0,2
086M34,-,47,AS,adaptive,50,↓,down,↓,0.483904500004428,True,21,-1,0,2
086M34,-,48,AS,adaptive,33,←,right,→,0.48393639999994775,False,21,-1,0,2
086M34,-,49,AS,adaptive,38,↓,down,↓,0.6424894000010681,True,22,-1,0,2
086M34,-,50,AS,adaptive,26,→,right,→,0.6350731999991694,True,22,1,1,3
086M34,-,51,AS,adaptive,31,↑,left,←,0.45068950000131736,False,21,-1,1,4
086M34,1,52,AS,intra_train,38,↓,right,→,0.5504609999989043,False,33,-,-,-
086M34,1,53,AS,intra_train,31,←,right,→,0.4846181999964756,False,33,-,-,-
086M34,1,54,AS,intra_train,26,↓,down,↓,1.3192726999986917,True,33,-,-,-
086M34,1,55,AS,intra_train,47,↑,up,↑,0.6672491999997874,True,33,-,-,-
086M34,1,56,AS,intra_train,48,↓,down,↓,0.8248829000003752,True,33,-,-,-
086M34,1,57,AS,exp,42,←,left,←,0.38375639999867417,True,22,0,0,0
086M34,1,58,AS,exp,30,↑,down,↓,0.7563909000018612,False,22,-1,0,0
086M34,1,59,AS,exp,42,↓,down,↓,0.4176976000017021,True,23,-1,0,0
086M34,1,60,AS,exp,43,←,left,←,0.4338888999991468,True,23,1,1,1
086M34,1,61,AS,exp,38,→,right,→,0.655104699995718,True,22,1,0,1
086M34,1,62,AS,exp,41,←,left,←,0.6226147999987006,True,22,1,0,1
086M34,1,63,AS,exp,29,→,right,→,0.7247817000024952,True,21,1,0,1
086M34,1,64,AS,exp,42,↓,down,↓,0.4671692999982042,True,21,1,0,1
086M34,1,65,AS,exp,26,→,right,→,0.7725076999995508,True,20,1,0,1
086M34,1,66,AS,exp,29,↓,down,↓,0.5924735000007786,True,20,1,0,1
086M34,1,67,AS,exp,30,←,left,←,0.4504683000050136,True,19,1,0,1
086M34,1,68,AS,exp,26,→,right,→,0.5270311999993282,True,19,1,0,1
086M34,1,69,AS,exp,26,↓,down,↓,0.527629700001853,True,18,1,0,1
086M34,1,70,AS,exp,28,→,no_key,no_letter,-1.0,False,18,-1,1,2
086M34,1,71,AS,exp,31,↑,up,↑,0.5970655999990413,True,19,-1,0,2
086M34,1,72,AS,exp,28,→,right,→,0.6313898000007612,True,19,1,1,3
086M34,1,73,AS,exp,34,↓,down,↓,0.4985196999987238,True,18,1,0,3
086M34,1,74,AS,exp,44,←,left,←,0.5828237000023364,True,18,1,0,3
086M34,1,75,AS,exp,28,↓,right,→,0.9242115000015474,False,17,-1,1,4
086M34,1,76,AS,exp,33,↑,up,↑,0.7437432000006083,True,18,-1,0,4
086M34,1,77,AS,exp,33,←,down,↓,0.6771233999970718,False,18,-1,0,4
086M34,1,78,AS,exp,44,↓,right,→,0.5549215000064578,False,19,-1,0,4
086M34,1,79,AS,exp,39,↑,up,↑,0.4343836999978521,True,20,-1,0,4
086M34,1,80,AS,exp,46,↓,down,↓,0.5777114000011352,True,20,1,1,5
