PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count
PB046M31,1,1,PS,train,37,→,right,→,1.3459405000012339,True,30,-,-,-
PB046M31,1,2,PS,train,27,↓,left,←,1.6284660000001168,False,30,-,-,-
PB046M31,1,3,PS,train,39,→,right,→,1.016680599999745,True,30,-,-,-
PB046M31,1,4,PS,train,28,↓,down,↓,0.967568800000663,True,30,-,-,-
PB046M31,1,5,PS,train,25,↑,up,↑,0.9844782000000123,True,30,-,-,-
PB046M31,1,6,PS,train,41,↓,down,↓,0.9353945000002568,True,30,-,-,-
PB046M31,1,7,PS,train,41,↑,up,↑,0.8283899999987625,True,30,-,-,-
PB046M31,1,8,PS,train,37,←,left,←,0.7145259000008082,True,30,-,-,-
PB046M31,1,9,PS,train,34,↓,down,↓,0.7409986000002391,True,30,-,-,-
PB046M31,1,10,PS,train,29,←,left,←,0.6937527999998565,True,30,-,-,-
PB046M31,2,11,AS,train,27,↓,down,↓,1.3338894000007713,True,45,-,-,-
PB046M31,2,12,AS,train,40,↑,up,↑,0.8838465000008,True,45,-,-,-
PB046M31,2,13,AS,train,30,←,left,←,0.7836943000002066,True,45,-,-,-
PB046M31,2,14,AS,train,27,→,right,→,0.7671849999987899,True,45,-,-,-
PB046M31,2,15,AS,train,36,↓,down,↓,0.8671334000009665,True,45,-,-,-
PB046M31,2,16,AS,train,42,→,right,→,0.7670277999986865,True,45,-,-,-
PB046M31,2,17,AS,train,50,↑,up,↑,0.6843750000007276,True,45,-,-,-
PB046M31,2,18,AS,train,46,←,left,←,0.7838811999990867,True,45,-,-,-
PB046M31,2,19,AS,train,33,↑,up,↑,0.7504960999995092,True,45,-,-,-
PB046M31,2,20,AS,train,36,→,right,→,0.7508147999997163,True,45,-,-,-
PB046M31,-,21,PS,adaptive,47,←,left,←,0.6345035000013013,True,10,0,0,0
PB046M31,-,22,PS,adaptive,28,→,right,→,0.7742187000003469,True,10,1,0,0
PB046M31,-,23,PS,adaptive,45,←,left,←,0.8582501000000775,True,9,1,0,0
PB046M31,-,24,PS,adaptive,37,↑,up,↑,0.6162413999991259,True,9,1,0,0
PB046M31,-,25,PS,adaptive,36,→,right,→,0.7397297000006802,True,8,1,0,0
PB046M31,-,26,PS,adaptive,32,←,left,←,0.6995485000006738,True,8,1,0,0
PB046M31,-,27,PS,adaptive,26,↓,up,↑,0.8194999999996071,False,7,-1,1,1
PB046M31,-,28,PS,adaptive,47,↑,up,↑,0.724416500001098,True,8,-1,0,1
PB046M31,-,29,PS,adaptive,39,↓,down,↓,0.6213496000000305,True,8,1,1,2
PB046M31,-,30,PS,adaptive,35,→,right,→,0.5591225000007398,True,7,1,0,2
PB046M31,-,31,PS,adaptive,40,↓,down,↓,0.6627553999987867,True,7,1,0,2
PB046M31,-,32,PS,adaptive,25,←,up,↑,0.7625776000004407,False,6,-1,1,3
PB046M31,-,33,PS,adaptive,39,↑,down,↓,0.9319212000009429,False,7,-1,0,3
PB046M31,-,34,PS,adaptive,49,↓,up,↑,0.7400078999999096,False,8,-1,0,3
PB046M31,-,35,PS,adaptive,48,↑,up,↑,0.6419593000009627,True,9,-1,0,3
PB046M31,-,36,PS,adaptive,26,←,up,↑,0.7392691000004561,False,9,-1,0,3
PB046M31,-,37,PS,adaptive,34,↑,down,↓,0.7880415999989054,False,10,-1,0,3
PB046M31,-,38,PS,adaptive,38,↓,down,↓,1.2098471999997855,True,11,-1,0,3
PB046M31,-,39,PS,adaptive,45,→,right,→,0.5720414000006713,True,11,1,1,4
PB046M31,-,40,AS,adaptive,28,↑,up,↑,0.5831467999996676,True,20,0,0,0
PB046M31,-,41,AS,adaptive,29,↓,down,↓,0.7134363999994093,True,20,1,0,0
PB046M31,-,42,AS,adaptive,38,←,left,←,0.7200450999989698,True,19,1,0,0
PB046M31,-,43,AS,adaptive,36,→,right,→,0.5590338000001793,True,19,1,0,0
PB046M31,-,44,AS,adaptive,47,←,left,←,0.6147335000005114,True,18,1,0,0
PB046M31,-,45,AS,adaptive,46,→,right,→,0.7080136999993556,True,18,1,0,0
PB046M31,-,46,AS,adaptive,42,↑,up,↑,0.6460771000001841,True,17,1,0,0
PB046M31,-,47,AS,adaptive,36,↓,down,↓,0.6078609999985929,True,17,1,0,0
PB046M31,-,48,AS,adaptive,45,↑,up,↑,0.6460017999997945,True,16,1,0,0
PB046M31,-,49,AS,adaptive,32,←,left,←,0.47824020000007295,True,16,1,0,0
PB046M31,-,50,AS,adaptive,25,→,right,→,0.761397999998735,True,15,1,0,0
PB046M31,-,51,AS,adaptive,34,↓,up,↑,0.8075858000011067,False,15,-1,1,1
PB046M31,-,52,AS,adaptive,28,→,right,→,0.7360055999997712,True,16,-1,0,1
PB046M31,-,53,AS,adaptive,50,←,left,←,0.5811362999993435,True,16,1,1,2
PB046M31,-,54,AS,adaptive,48,→,right,→,0.6056949999983772,True,15,1,0,2
PB046M31,-,55,AS,adaptive,46,←,left,←,0.6051244999998744,True,15,1,0,2
PB046M31,-,56,AS,adaptive,38,→,right,→,0.5685448000003817,True,14,1,0,2
PB046M31,-,57,AS,adaptive,44,↓,down,↓,0.6691370000007737,True,14,1,0,2
PB046M31,-,58,AS,adaptive,38,↑,up,↑,0.6234851999997773,True,13,1,0,2
PB046M31,-,59,AS,adaptive,34,→,right,→,0.5477162000006501,True,13,1,0,2
PB046M31,-,60,AS,adaptive,27,↓,down,↓,1.1978681000000506,True,12,1,0,2
PB046M31,-,61,AS,adaptive,48,↑,right,→,0.7065032000009523,False,12,-1,1,3
PB046M31,-,62,AS,adaptive,26,↓,down,↓,0.6118862000002991,True,13,-1,0,3
PB046M31,-,63,AS,adaptive,27,↑,up,↑,0.609443100000135,True,13,1,1,4
PB046M31,1,64,PS,intra_train,26,←,right,→,0.820471600000019,False,15,-,-,-
PB046M31,1,65,PS,intra_train,31,↑,up,↑,0.652751999999964,True,15,-,-,-
PB046M31,1,66,PS,intra_train,28,←,left,←,0.7457422000006773,True,15,-,-,-
PB046M31,1,67,PS,intra_train,43,↓,down,↓,0.9448369999990973,True,15,-,-,-
PB046M31,1,68,PS,intra_train,35,←,down,↓,1.1202349000013783,False,15,-,-,-
PB046M31,1,69,PS,exp,34,↑,down,↓,0.8358257999989291,False,10,-1,0,0
PB046M31,1,70,PS,exp,28,↓,down,↓,0.7897207000005437,True,11,-1,0,0
PB046M31,1,71,PS,exp,48,→,right,→,0.7128970000012487,True,11,1,1,1
PB046M31,1,72,PS,exp,42,↑,up,↑,0.7128943000006984,True,10,1,0,1
PB046M31,1,73,PS,exp,44,→,right,→,0.8767905000004248,True,10,1,0,1
PB046M31,1,74,PS,exp,36,↓,down,↓,0.639330299998619,True,9,1,0,1
PB046M31,1,75,PS,exp,43,←,left,←,0.6227034000003187,True,9,1,0,1
PB046M31,1,76,PS,exp,46,↓,down,↓,0.6585699000006571,True,8,1,0,1
PB046M31,1,77,PS,exp,39,→,right,→,0.5192598000012367,True,8,1,0,1
PB046M31,1,78,PS,exp,40,↑,up,↑,0.5396096000004036,True,7,1,0,1
PB046M31,1,79,PS,exp,42,←,left,←,0.9192722000007052,True,7,1,0,1
PB046M31,1,80,PS,exp,39,↑,up,↑,0.5363336999998864,True,6,1,0,1
PB046M31,1,81,PS,exp,46,↓,up,↑,0.6296433999996225,False,6,-1,1,2
PB046M31,1,82,PS,exp,34,→,up,↑,0.6495250999996642,False,7,-1,0,2
PB046M31,1,83,PS,exp,37,←,left,←,0.6388034999999945,True,8,-1,0,2
PB046M31,1,84,PS,exp,32,↑,up,↑,0.546428300000116,True,8,1,1,3
PB046M31,1,85,PS,exp,39,↓,down,↓,0.898666700000831,True,7,1,0,3
PB046M31,1,86,PS,exp,34,→,right,→,0.5137630999997782,True,7,1,0,3
PB046M31,1,87,PS,exp,43,←,down,↓,0.9812380000003031,False,6,-1,1,4
PB046M31,1,88,PS,exp,27,→,right,→,0.5425579000002472,True,7,-1,0,4
PB046M31,1,89,PS,exp,47,←,left,←,0.6395028000006278,True,7,1,1,5
PB046M31,1,90,PS,exp,46,↓,down,↓,0.6934474000008777,True,6,1,0,5
PB046M31,1,91,PS,exp,28,←,down,↓,0.6585904000003211,False,6,-1,1,6
PB046M31,1,92,PS,exp,29,→,right,→,0.49269339999955264,True,7,-1,0,6
PB046M31,1,93,PS,exp,26,↑,up,↑,0.6472441000005347,True,7,1,1,7
PB046M31,1,94,PS,exp,25,←,right,→,0.6069562000011501,False,6,-1,1,8
PB046M31,1,95,PS,exp,44,↑,up,↑,0.6148202999993373,True,7,-1,0,8
PB046M31,1,96,PS,exp,50,←,left,←,0.5580253999996785,True,7,1,1,9
PB046M31,1,97,PS,exp,30,↓,down,↓,0.6395713000001706,True,6,1,0,9
PB046M31,1,98,PS,exp,41,←,left,←,0.4942585999997391,True,6,1,0,9
PB046M31,1,99,PS,exp,27,→,up,↑,0.6015307999987272,False,5,-1,1,10
PB046M31,1,100,PS,exp,44,↓,down,↓,0.5318415000001551,True,6,-1,0,10
PB046M31,1,101,PS,exp,48,←,left,←,0.5869567999998253,True,6,1,1,11
PB046M31,1,102,PS,exp,49,↓,up,↑,0.5884721000002173,False,5,-1,1,12
PB046M31,1,103,PS,exp,33,←,down,↓,0.6791494999997667,False,6,-1,0,12
PB046M31,1,104,PS,exp,32,↓,down,↓,0.5933688000004622,True,7,-1,0,12
PB046M31,1,105,PS,exp,37,←,left,←,0.5399120000001858,True,7,1,1,13
PB046M31,1,106,PS,exp,32,↓,down,↓,0.5928813999998965,True,6,1,0,13
PB046M31,1,107,PS,exp,38,←,left,←,0.5552904999985913,True,6,1,0,13
PB046M31,1,108,PS,exp,29,↓,down,↓,0.533104899999671,True,5,1,0,13
PB046M31,1,109,PS,exp,47,←,down,↓,0.6106631999991805,False,5,-1,1,14
PB046M31,2,110,AS,intra_train,34,↓,down,↓,0.6879573000005621,True,18,-,-,-
PB046M31,2,111,AS,intra_train,26,→,right,→,0.6895438999999897,True,18,-,-,-
PB046M31,2,112,AS,intra_train,35,↓,down,↓,0.5402603000002273,True,18,-,-,-
PB046M31,2,113,AS,intra_train,50,↑,up,↑,1.0696386999989045,True,18,-,-,-
PB046M31,2,114,AS,intra_train,38,←,right,→,0.8568553999994037,False,18,-,-,-
PB046M31,2,115,AS,exp,46,→,right,→,0.7968889000003401,True,12,0,0,0
PB046M31,2,116,AS,exp,41,↑,up,↑,0.6549723999996786,True,12,1,0,0
PB046M31,2,117,AS,exp,27,←,left,←,0.6662237000000459,True,11,1,0,0
PB046M31,2,118,AS,exp,46,↓,down,↓,0.6382830000002286,True,11,1,0,0
PB046M31,2,119,AS,exp,35,→,right,→,0.6045883000006143,True,10,1,0,0
PB046M31,2,120,AS,exp,47,↓,up,↑,0.6296971000010672,False,10,-1,1,1
PB046M31,2,121,AS,exp,36,↑,up,↑,0.6098263000003499,True,11,-1,0,1
PB046M31,2,122,AS,exp,33,↓,down,↓,0.6780534999998054,True,11,1,1,2
PB046M31,2,123,AS,exp,41,←,left,←,0.5492227999984607,True,10,1,0,2
PB046M31,2,124,AS,exp,41,↓,down,↓,0.5813949000003049,True,10,1,0,2
PB046M31,2,125,AS,exp,39,←,left,←,0.5676954999998998,True,9,1,0,2
PB046M31,2,126,AS,exp,30,↓,right,→,0.5147096000000602,False,9,-1,1,3
PB046M31,2,127,AS,exp,32,←,left,←,0.5818584999997256,True,10,-1,0,3
PB046M31,2,128,AS,exp,48,↑,down,↓,0.8361960000002,False,10,-1,0,3
PB046M31,2,129,AS,exp,32,←,left,←,0.49551419999988866,True,11,-1,0,3
PB046M31,2,130,AS,exp,45,↓,down,↓,0.7593759000010323,True,11,1,1,4
PB046M31,2,131,AS,exp,34,←,left,←,0.8674430999999458,True,10,1,0,4
PB046M31,2,132,AS,exp,36,→,down,↓,0.8930061999999452,False,10,-1,1,5
PB046M31,2,133,AS,exp,37,↑,up,↑,0.615135799998825,True,11,-1,0,5
PB046M31,2,134,AS,exp,49,↓,up,↑,0.6376080999998521,False,11,-1,0,5
PB046M31,2,135,AS,exp,26,←,left,←,0.6105299999999261,True,12,-1,0,5
PB046M31,2,136,AS,exp,27,→,left,←,0.7068321999995533,False,12,-1,0,5
PB046M31,2,137,AS,exp,36,↓,down,↓,0.6373726000001625,True,13,-1,0,5
PB046M31,2,138,AS,exp,49,←,left,←,0.5559553999992204,True,13,1,1,6
PB046M31,2,139,AS,exp,37,↓,down,↓,0.5815779999993538,True,12,1,0,6
PB046M31,2,140,AS,exp,40,→,right,→,0.6428840999997192,True,12,1,0,6
PB046M31,2,141,AS,exp,29,↓,down,↓,0.5514093000001594,True,11,1,0,6
PB046M31,2,142,AS,exp,46,←,left,←,0.7457185999992362,True,11,1,0,6
PB046M31,2,143,AS,exp,50,→,right,→,0.5446099000000686,True,10,1,0,6
PB046M31,2,144,AS,exp,31,←,left,←,0.6233337000012398,True,10,1,0,6
PB046M31,2,145,AS,exp,38,↑,up,↑,0.594742999999653,True,9,1,0,6
PB046M31,2,146,AS,exp,45,←,left,←,0.5736271999994642,True,9,1,0,6
PB046M31,2,147,AS,exp,29,↓,down,↓,0.639151800000036,True,8,1,0,6
PB046M31,2,148,AS,exp,39,←,left,←,0.8071866999998747,True,8,1,0,6
PB046M31,2,149,AS,exp,34,↓,down,↓,0.6238193000008323,True,7,1,0,6
PB046M31,2,150,AS,exp,44,↑,down,↓,0.7158053000002838,False,7,-1,1,7
PB046M31,2,151,AS,exp,44,↓,down,↓,0.5575330000010581,True,8,-1,0,7
PB046M31,2,152,AS,exp,39,↑,down,↓,0.8086382999990747,False,8,-1,0,7
PB046M31,2,153,AS,exp,40,→,left,←,0.8793528000005608,False,9,-1,0,7
PB046M31,2,154,AS,exp,28,↑,up,↑,0.6068524000002071,True,10,-1,0,7
PB046M31,2,155,AS,exp,43,↓,down,↓,0.608472999998412,True,10,1,1,8
PB046M31,2,156,AS,exp,49,↑,up,↑,0.49105020000024524,True,9,1,0,8
PB046M31,2,157,AS,exp,43,→,right,→,0.7081992000003083,True,9,1,0,8
PB046M31,2,158,AS,exp,26,↓,down,↓,0.6040082999988954,True,8,1,0,8
PB046M31,2,159,AS,exp,45,→,right,→,0.6511085000001913,True,8,1,0,8
PB046M31,2,160,AS,exp,25,←,down,↓,0.747247300001618,False,7,-1,1,9
PB046M31,2,161,AS,exp,38,↓,down,↓,0.5631843999999546,True,8,-1,0,9
PB046M31,2,162,AS,exp,49,←,left,←,0.5441854000000603,True,8,1,1,10
PB046M31,2,163,AS,exp,36,→,down,↓,0.7022183999997651,False,7,-1,1,11
PB046M31,2,164,AS,exp,31,↓,down,↓,0.7783405999998649,True,8,-1,0,11
PB046M31,2,165,AS,exp,48,↑,down,↓,0.7024807999987388,False,8,-1,0,11
PB046M31,2,166,AS,exp,26,↓,down,↓,0.6013175999996747,True,9,-1,0,11
PB046M31,2,167,AS,exp,50,→,right,→,0.9887698000002274,True,9,1,1,12
PB046M31,2,168,AS,exp,46,↑,up,↑,0.629206499999782,True,8,1,0,12
PB046M31,2,169,AS,exp,27,→,down,↓,0.6265452000006917,False,8,-1,1,13
PB046M31,2,170,AS,exp,45,↑,up,↑,0.5414515000011306,True,9,-1,0,13
PB046M31,2,171,AS,exp,40,→,right,→,0.5057643000000098,True,9,1,1,14
PB046M31,3,172,AS,intra_train,43,←,left,←,0.607542799998555,True,18,-,-,-
PB046M31,3,173,AS,intra_train,36,→,right,→,0.9530510999993567,True,18,-,-,-
PB046M31,3,174,AS,intra_train,32,←,left,←,0.6805272999990848,True,18,-,-,-
PB046M31,3,175,AS,intra_train,47,↓,down,↓,0.7248818000007304,True,18,-,-,-
PB046M31,3,176,AS,intra_train,26,→,right,→,0.5613629999988916,True,18,-,-,-
PB046M31,3,177,AS,exp,36,↑,up,↑,0.9162054999997054,True,12,0,0,0
PB046M31,3,178,AS,exp,33,↓,up,↑,0.8090995999991719,False,12,-1,0,0
PB046M31,3,179,AS,exp,25,↑,up,↑,0.6125319000002492,True,13,-1,0,0
PB046M31,3,180,AS,exp,49,←,down,↓,0.8974629000003915,False,13,-1,0,0
PB046M31,3,181,AS,exp,32,↓,down,↓,0.6606033000007301,True,14,-1,0,0
PB046M31,3,182,AS,exp,35,↑,up,↑,0.5442323999996006,True,14,1,1,1
PB046M31,3,183,AS,exp,45,→,down,↓,0.8051519000000553,False,13,-1,1,2
PB046M31,3,184,AS,exp,41,←,left,←,0.6111636999994516,True,14,-1,0,2
PB046M31,3,185,AS,exp,48,↑,up,↑,0.7934574999999313,True,14,1,1,3
PB046M31,3,186,AS,exp,50,←,left,←,0.694306499999584,True,13,1,0,3
PB046M31,3,187,AS,exp,50,→,left,←,0.7755861999994522,False,13,-1,1,4
PB046M31,3,188,AS,exp,27,←,left,←,0.6734715999991749,True,14,-1,0,4
PB046M31,3,189,AS,exp,45,↓,left,←,0.8331515999998373,False,14,-1,0,4
PB046M31,3,190,AS,exp,45,→,right,→,0.5807373999996344,True,15,-1,0,4
PB046M31,3,191,AS,exp,40,←,left,←,0.7237420999990718,True,15,1,1,5
PB046M31,3,192,AS,exp,47,→,right,→,0.5834371999990253,True,14,1,0,5
PB046M31,3,193,AS,exp,46,↑,left,←,0.7812072999986412,False,14,-1,1,6
PB046M31,3,194,AS,exp,46,→,right,→,0.909460199998648,True,15,-1,0,6
PB046M31,3,195,AS,exp,41,↓,down,↓,0.5965998000010586,True,15,1,1,7
PB046M31,3,196,AS,exp,49,→,left,←,0.7957243000000744,False,14,-1,1,8
PB046M31,3,197,AS,exp,44,↓,down,↓,0.6492350999997143,True,15,-1,0,8
PB046M31,3,198,AS,exp,42,←,left,←,0.664351200000965,True,15,1,1,9
PB046M31,3,199,AS,exp,33,↑,up,↑,0.7770090000012715,True,14,1,0,9
PB046M31,3,200,AS,exp,31,↓,down,↓,0.6687941000000137,True,14,1,0,9
PB046M31,3,201,AS,exp,28,←,left,←,0.6237899000007019,True,13,1,0,9
PB046M31,3,202,AS,exp,40,→,left,←,0.937463199999911,False,13,-1,1,10
PB046M31,3,203,AS,exp,25,↑,up,↑,0.6917077999987669,True,14,-1,0,10
PB046M31,3,204,AS,exp,41,→,right,→,0.5553563000012218,True,14,1,1,11
PB046M31,3,205,AS,exp,47,↓,down,↓,0.6393568000003143,True,13,1,0,11
PB046M31,3,206,AS,exp,31,←,left,←,0.7779536999987613,True,13,1,0,11
PB046M31,3,207,AS,exp,36,→,left,←,0.9446582999989914,False,12,-1,1,12
PB046M31,3,208,AS,exp,34,↑,up,↑,0.6275318999996671,True,13,-1,0,12
PB046M31,3,209,AS,exp,37,→,down,↓,0.7994125999994139,False,13,-1,0,12
PB046M31,3,210,AS,exp,44,←,left,←,0.6270920000006299,True,14,-1,0,12
PB046M31,3,211,AS,exp,33,↑,up,↑,0.5659704000008787,True,14,1,1,13
PB046M31,3,212,AS,exp,26,→,down,↓,0.6993354999995063,False,13,-1,1,14
PB046M31,4,213,PS,intra_train,32,↓,up,↑,0.7023284000006242,False,15,-,-,-
PB046M31,4,214,PS,intra_train,48,↑,up,↑,0.6395350000002509,True,15,-,-,-
PB046M31,4,215,PS,intra_train,39,←,left,←,0.8250380999998015,True,15,-,-,-
PB046M31,4,216,PS,intra_train,49,↓,down,↓,0.6769688000003953,True,15,-,-,-
PB046M31,4,217,PS,intra_train,35,→,right,→,0.636077999999543,True,15,-,-,-
PB046M31,4,218,PS,exp,48,←,left,←,0.6317271999996592,True,10,0,0,0
PB046M31,4,219,PS,exp,35,→,right,→,0.9635218000003078,True,10,1,0,0
PB046M31,4,220,PS,exp,31,↓,left,←,0.9509598999993614,False,9,-1,1,1
PB046M31,4,221,PS,exp,29,←,left,←,0.579403399999137,True,10,-1,0,1
PB046M31,4,222,PS,exp,26,↑,up,↑,0.7844218999998702,True,10,1,1,2
PB046M31,4,223,PS,exp,44,←,up,↑,0.6826343000011548,False,9,-1,1,3
