PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count
170K19,1,1,PS,train,37,→,right,→,0.8015359999990324,True,30,-,-,-
170K19,1,2,PS,train,33,↓,down,↓,1.9652610999983153,True,30,-,-,-
170K19,1,3,PS,train,37,→,right,→,1.2291334999972605,True,30,-,-,-
170K19,1,4,PS,train,29,↓,down,↓,0.9183084000032977,True,30,-,-,-
170K19,1,5,PS,train,37,←,left,←,1.265637099997548,True,30,-,-,-
170K19,1,6,PS,train,38,↓,down,↓,1.4530247000002419,True,30,-,-,-
170K19,1,7,PS,train,41,↑,up,↑,1.005346300000383,True,30,-,-,-
170K19,1,8,PS,train,47,←,left,←,0.9100770000004559,True,30,-,-,-
170K19,1,9,PS,train,40,↑,up,↑,1.38551539999753,True,30,-,-,-
170K19,1,10,PS,train,28,→,right,→,0.8904877999957534,True,30,-,-,-
170K19,2,11,AS,train,40,↑,up,↑,2.14517949999572,True,45,-,-,-
170K19,2,12,AS,train,41,→,no_key,no_letter,-1.0,False,45,-,-,-
170K19,2,13,AS,train,42,↑,up,↑,1.5582756999938283,True,45,-,-,-
170K19,2,14,AS,train,28,↓,down,↓,1.0037956000014674,True,45,-,-,-
170K19,2,15,AS,train,25,↑,up,↑,0.8005688999983249,True,45,-,-,-
170K19,2,16,AS,train,34,↓,down,↓,0.8839005999980145,True,45,-,-,-
170K19,2,17,AS,train,30,←,left,←,1.1388813000012306,True,45,-,-,-
170K19,2,18,AS,train,26,↑,up,↑,0.9896956000011414,True,45,-,-,-
170K19,2,19,AS,train,50,→,right,→,0.8172288999994635,True,45,-,-,-
170K19,2,20,AS,train,40,↑,up,↑,1.02596430000267,True,45,-,-,-
170K19,-,21,PS,adaptive,46,←,up,↑,1.4448970000012196,False,10,-1,0,0
170K19,-,22,PS,adaptive,40,↑,up,↑,1.220145200000843,True,11,-1,0,0
170K19,-,23,PS,adaptive,50,↓,down,↓,1.0724438000033842,True,11,1,1,1
170K19,-,24,PS,adaptive,37,↑,up,↑,1.1951023000001442,True,10,1,0,1
170K19,-,25,PS,adaptive,42,←,up,↑,0.8976114000033704,False,10,-1,1,2
170K19,-,26,PS,adaptive,37,↓,down,↓,0.7476794999965932,True,11,-1,0,2
170K19,-,27,PS,adaptive,25,↑,right,→,0.749767499997688,False,11,-1,0,2
170K19,-,28,PS,adaptive,29,←,right,→,1.0028247000009287,False,12,-1,0,2
170K19,-,29,PS,adaptive,29,↓,right,→,1.008390999995754,False,13,-1,0,2
170K19,-,30,PS,adaptive,37,←,left,←,0.9334369999996852,True,14,-1,0,2
170K19,-,31,PS,adaptive,27,↓,down,↓,0.732545899998513,True,14,1,1,3
170K19,-,32,PS,adaptive,36,↑,up,↑,0.6399953000000096,True,13,1,0,3
170K19,-,33,PS,adaptive,43,←,left,←,0.7199280999993789,True,13,1,0,3
170K19,-,34,PS,adaptive,25,↓,down,↓,0.8727117999951588,True,12,1,0,3
170K19,-,35,PS,adaptive,33,←,left,←,0.8042604000002029,True,12,1,0,3
170K19,-,36,PS,adaptive,28,↓,up,↑,0.6731540999971912,False,11,-1,1,4
170K19,-,37,AS,adaptive,39,↑,up,↑,1.0271117000011145,True,20,0,0,0
170K19,-,38,AS,adaptive,49,↓,down,↓,1.0729434000022593,True,20,1,0,0
170K19,-,39,AS,adaptive,40,←,up,↑,1.0831465000010212,False,19,-1,1,1
170K19,-,40,AS,adaptive,42,→,left,←,0.8378077999950619,False,20,-1,0,1
170K19,-,41,AS,adaptive,39,←,left,←,0.8535627000019304,True,21,-1,0,1
170K19,-,42,AS,adaptive,40,↑,up,↑,0.857564400001138,True,21,1,1,2
170K19,-,43,AS,adaptive,29,←,left,←,0.736497199999576,True,20,1,0,2
