PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count
PB025M21,1,1,PS,train,46,←,left,←,1.62389789998997,True,30,-,-,-
PB025M21,1,2,PS,train,33,↑,up,↑,1.860834299994167,True,30,-,-,-
PB025M21,1,3,PS,train,45,↓,down,↓,1.4395145000016782,True,30,-,-,-
PB025M21,1,4,PS,train,40,→,right,→,1.092187100002775,True,30,-,-,-
PB025M21,1,5,PS,train,29,↓,down,↓,1.1800242000026628,True,30,-,-,-
PB025M21,1,6,PS,train,46,↑,up,↑,0.9217991000041366,True,30,-,-,-
PB025M21,1,7,PS,train,32,←,left,←,1.1798742999962997,True,30,-,-,-
PB025M21,1,8,PS,train,35,↓,down,↓,1.038005800015526,True,30,-,-,-
PB025M21,1,9,PS,train,30,←,left,←,0.9970867999945767,True,30,-,-,-
PB025M21,1,10,PS,train,43,↑,up,↑,0.9691981000069063,True,30,-,-,-
PB025M21,2,11,AS,train,39,↓,down,↓,1.212010300019756,True,45,-,-,-
PB025M21,2,12,AS,train,39,←,left,←,1.2830762999947183,True,45,-,-,-
PB025M21,2,13,AS,train,38,↓,down,↓,1.1451769999985117,True,45,-,-,-
PB025M21,2,14,AS,train,35,↑,up,↑,1.7651146999851335,True,45,-,-,-
PB025M21,2,15,AS,train,39,↓,down,↓,1.1952087999961805,True,45,-,-,-
PB025M21,2,16,AS,train,49,↑,up,↑,1.167108499997994,True,45,-,-,-
PB025M21,2,17,AS,train,30,→,right,→,1.2772134999977425,True,45,-,-,-
PB025M21,2,18,AS,train,46,↑,up,↑,0.997786099993391,True,45,-,-,-
PB025M21,2,19,AS,train,33,←,left,←,1.0522506999841426,True,45,-,-,-
PB025M21,2,20,AS,train,45,↓,down,↓,1.0686226999969222,True,45,-,-,-
PB025M21,-,21,PS,adaptive,49,↑,up,↑,1.1627384000166785,True,10,0,0,0
PB025M21,-,22,PS,adaptive,38,→,right,→,0.5956984999938868,True,10,1,0,0
PB025M21,-,23,PS,adaptive,40,↑,up,↑,0.7601020000001881,True,9,1,0,0
PB025M21,-,24,PS,adaptive,36,↓,down,↓,0.6730768000124954,True,9,1,0,0
PB025M21,-,25,PS,adaptive,32,←,left,←,0.6144083000253886,True,8,1,0,0
PB025M21,-,26,PS,adaptive,40,↑,up,↑,0.5830629999982193,True,8,1,0,0
