PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count
PB049K21,1,1,PS,train,30,←,no_key,no_letter,-1.0,False,30,-,-,-
PB049K21,1,2,PS,train,31,↑,up,↑,1.1676022000028752,True,30,-,-,-
PB049K21,1,3,PS,train,29,↓,down,↓,0.7566791999997804,True,30,-,-,-
PB049K21,1,4,PS,train,46,↑,up,↑,0.6805655999924056,True,30,-,-,-
PB049K21,1,5,PS,train,35,←,no_key,no_letter,-1.0,False,30,-,-,-
PB049K21,1,6,PS,train,38,↑,no_key,no_letter,-1.0,False,30,-,-,-
PB049K21,1,7,PS,train,30,←,left,←,0.6862569999939296,True,30,-,-,-
PB049K21,1,8,PS,train,39,→,right,→,0.5836603000061586,True,30,-,-,-
PB049K21,1,9,PS,train,40,←,left,←,0.5339144000026863,True,30,-,-,-
PB049K21,1,10,PS,train,50,→,right,→,0.5505921000003582,True,30,-,-,-
PB049K21,2,11,AS,train,39,↓,down,↓,0.7179112000012537,True,45,-,-,-
PB049K21,2,12,AS,train,37,↑,up,↑,0.6843711999972584,True,45,-,-,-
PB049K21,2,13,AS,train,26,↓,down,↓,1.172531300006085,True,45,-,-,-
PB049K21,2,14,AS,train,37,↑,up,↑,0.9221383999974933,True,45,-,-,-
PB049K21,2,15,AS,train,43,→,right,→,0.5178264999995008,True,45,-,-,-
PB049K21,2,16,AS,train,25,↑,up,↑,0.8170971999934409,True,45,-,-,-
PB049K21,2,17,AS,train,40,←,left,←,0.6344540999998571,True,45,-,-,-
PB049K21,2,18,AS,train,42,↓,down,↓,0.8840382000053069,True,45,-,-,-
PB049K21,2,19,AS,train,40,→,right,→,0.5678518999920925,True,45,-,-,-
PB049K21,2,20,AS,train,50,↓,down,↓,0.8001537999953143,True,45,-,-,-
PB049K21,-,21,PS,adaptive,45,←,left,←,0.4450503999978537,True,10,0,0,0
PB049K21,-,22,PS,adaptive,38,→,right,→,0.4445569999952568,True,10,1,0,0
PB049K21,-,23,PS,adaptive,47,←,left,←,0.832752000002074,True,9,1,0,0
PB049K21,-,24,PS,adaptive,26,↑,up,↑,0.447421500008204,True,9,1,0,0
PB049K21,-,25,PS,adaptive,26,↓,down,↓,0.6389048999990337,True,8,1,0,0
PB049K21,-,26,PS,adaptive,34,↑,up,↑,0.46578139999473933,True,8,1,0,0
PB049K21,-,27,PS,adaptive,44,←,left,←,0.7198485999979312,True,7,1,0,0
PB049K21,-,28,PS,adaptive,47,→,right,→,0.540230500002508,True,7,1,0,0
PB049K21,-,29,PS,adaptive,49,↑,up,↑,0.5304276000097161,True,6,1,0,0
PB049K21,-,30,PS,adaptive,45,←,left,←,0.5372571000043536,True,6,1,0,0
PB049K21,-,31,PS,adaptive,28,→,right,→,0.5198104999872157,True,5,1,0,0
PB049K21,-,32,PS,adaptive,30,←,left,←,0.5073330999875907,True,5,1,0,0
PB049K21,-,33,PS,adaptive,25,↓,right,→,0.7768453000026057,False,4,-1,1,1
PB049K21,-,34,PS,adaptive,30,↑,up,↑,0.5998184999916703,True,5,-1,0,1
PB049K21,-,35,PS,adaptive,29,←,left,←,0.5511636000010185,True,5,1,1,2
PB049K21,-,36,PS,adaptive,26,↑,left,←,0.6122999000072014,False,4,-1,1,3
PB049K21,-,37,PS,adaptive,49,←,left,←,0.589349999994738,True,5,-1,0,3
PB049K21,-,38,PS,adaptive,40,↓,left,←,0.5107927000062773,False,5,-1,0,3
PB049K21,-,39,PS,adaptive,50,→,left,←,0.7071370999910869,False,6,-1,0,3
PB049K21,-,40,PS,adaptive,35,←,left,←,0.5918934000073932,True,7,-1,0,3
PB049K21,-,41,PS,adaptive,32,↑,left,←,0.6014233000023523,False,7,-1,0,3
PB049K21,-,42,PS,adaptive,39,←,left,←,0.4779514999972889,True,8,-1,0,3
PB049K21,-,43,PS,adaptive,47,→,left,←,0.5856689000065671,False,8,-1,0,3
PB049K21,-,44,PS,adaptive,33,↑,up,↑,0.6604062999977032,True,9,-1,0,3
PB049K21,-,45,PS,adaptive,41,↓,left,←,0.5564706000004662,False,9,-1,0,3
PB049K21,-,46,PS,adaptive,42,↑,left,←,0.4650451999914367,False,10,-1,0,3
PB049K21,-,47,PS,adaptive,26,←,left,←,0.5839414999936707,True,11,-1,0,3
PB049K21,-,48,PS,adaptive,40,↑,left,←,0.5059594999911496,False,11,-1,0,3
PB049K21,-,49,PS,adaptive,31,↓,left,←,0.7503205999964848,False,12,-1,0,3
PB049K21,-,50,PS,adaptive,38,↑,left,←,0.74246540000604,False,13,-1,0,3
PB049K21,-,51,PS,adaptive,37,↓,left,←,0.4413327000074787,False,14,-1,0,3
PB049K21,-,52,PS,adaptive,37,↑,left,←,1.4033705999900121,False,15,-1,0,3
PB049K21,-,53,PS,adaptive,35,→,right,→,0.5953700000100071,True,16,-1,0,3
PB049K21,-,54,PS,adaptive,30,↑,left,←,0.6213473999960115,False,16,-1,0,3
PB049K21,-,55,PS,adaptive,34,↓,down,↓,1.6029073999961838,True,17,-1,0,3
PB049K21,-,56,PS,adaptive,27,↑,up,↑,1.0853133000055095,True,17,1,1,4
PB049K21,-,57,AS,adaptive,46,←,left,←,0.6486686999996891,True,20,0,0,0
PB049K21,-,58,AS,adaptive,36,→,right,→,0.6185534999967786,True,20,1,0,0
PB049K21,-,59,AS,adaptive,30,↑,up,↑,0.9428305999899749,True,19,1,0,0
PB049K21,-,60,AS,adaptive,36,↓,down,↓,0.7058893999928841,True,19,1,0,0
PB049K21,-,61,AS,adaptive,26,↑,up,↑,0.6673155000025872,True,18,1,0,0
PB049K21,-,62,AS,adaptive,47,→,right,→,0.8288688000029651,True,18,1,0,0
PB049K21,-,63,AS,adaptive,44,←,left,←,0.6082514000008814,True,17,1,0,0
PB049K21,-,64,AS,adaptive,39,→,left,←,0.7385659999999916,False,17,-1,1,1
PB049K21,-,65,AS,adaptive,45,↑,left,←,1.0449787999968976,False,18,-1,0,1
PB049K21,-,66,AS,adaptive,30,↓,down,↓,0.7556837000011001,True,19,-1,0,1
PB049K21,-,67,AS,adaptive,31,↑,up,↑,0.7324219000001904,True,19,1,1,2
PB049K21,-,68,AS,adaptive,31,→,right,→,0.5659892999974545,True,18,1,0,2
PB049K21,-,69,AS,adaptive,39,↑,up,↑,0.8053825999959372,True,18,1,0,2
PB049K21,-,70,AS,adaptive,30,↓,down,↓,0.6172227999923052,True,17,1,0,2
PB049K21,-,71,AS,adaptive,46,→,right,→,0.5218277999956626,True,17,1,0,2
PB049K21,-,72,AS,adaptive,44,←,left,←,0.8528297000011662,True,16,1,0,2
PB049K21,-,73,AS,adaptive,44,↑,up,↑,0.6430797999928473,True,16,1,0,2
