PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-JW1605K24,1,training,10,↓,down,↓,0.7670242999993206,True,63
2A-JW1605K24,2,training,10,→,right,→,0.7505975999993098,True,63
2A-JW1605K24,3,training,10,↑,left,←,0.6173196999989159,False,63
2A-JW1605K24,4,training,10,←,left,←,0.7000615000015387,True,63
2A-JW1605K24,5,training,10,←,left,←,0.4837619999998424,True,63
2A-JW1605K24,6,training,10,↓,down,↓,0.7671420000006037,True,63
2A-JW1605K24,7,training,10,→,right,→,0.7505568999986281,True,63
2A-JW1605K24,8,training,10,←,no_key,no_letter,-1.0,False,63
2A-JW1605K24,9,experiment,20,↑,up,↑,0.683961000000636,True,63
2A-JW1605K24,10,experiment,23,↓,no_key,no_letter,-1.0,False,63
2A-JW1605K24,11,experiment,24,↑,up,↑,0.7338280000003579,True,63
2A-JW1605K24,12,experiment,17,→,right,→,0.7672208000003593,True,63
2A-JW1605K24,13,experiment,27,↓,down,↓,0.8191117999995186,True,63
2A-JW1605K24,14,experiment,22,←,left,←,0.4171984999993583,True,63
2A-JW1605K24,15,experiment,18,→,left,←,0.41718260000016016,False,63
2A-JW1605K24,16,experiment,29,↑,up,↑,0.6337648999997327,True,63
2A-JW1605K24,17,experiment,28,←,left,←,0.7671410000002652,True,63
2A-JW1605K24,18,experiment,19,→,right,→,0.5672153000014077,True,63
2A-JW1605K24,19,experiment,26,→,right,→,0.6839089000004606,True,63
2A-JW1605K24,20,experiment,21,→,right,→,0.6337823999983812,True,63
2A-JW1605K24,21,experiment,31,↑,up,↑,0.6338591000003362,True,63
2A-JW1605K24,22,experiment,30,↓,down,↓,0.767228000000614,True,63
2A-JW1605K24,23,experiment,14,↑,up,↑,0.7002077000015561,True,63
2A-JW1605K24,24,experiment,25,↑,up,↑,0.6505185999994865,True,63
2A-JW1605K24,25,experiment,16,→,right,→,0.7505734000005759,True,63
2A-JW1605K24,26,experiment,15,↓,down,↓,0.8170444999996107,True,63
2A-JW1605K24,27,experiment,13,→,right,→,0.8171445999996649,True,63
2A-JW1605K24,28,experiment,25,←,right,→,0.5004635999994207,False,58
2A-JW1605K24,29,experiment,29,→,right,→,0.699932199999239,True,58
2A-JW1605K24,30,experiment,31,↑,up,↑,0.7007797999995091,True,58
2A-JW1605K24,31,experiment,21,↑,up,↑,0.7170686999997997,True,58
2A-JW1605K24,32,experiment,16,←,left,←,0.6354888000005303,True,58
2A-JW1605K24,33,experiment,19,↑,up,↑,0.8005268000015349,True,58
2A-JW1605K24,34,experiment,18,←,left,←,0.6506746000013663,True,58
2A-JW1605K24,35,experiment,28,←,left,←,0.6671274999989691,True,58
2A-JW1605K24,36,experiment,17,↓,down,↓,0.7337109000000055,True,58
2A-JW1605K24,37,experiment,22,←,left,←,0.6171254000000772,True,58
2A-JW1605K24,38,experiment,24,→,right,→,0.7337475000003906,True,58
2A-JW1605K24,39,experiment,20,→,left,←,0.4669682000003377,False,58
2A-JW1605K24,40,experiment,14,→,right,→,0.7172547000009217,True,58
2A-JW1605K24,41,experiment,26,↑,up,↑,0.7006953000000067,True,58
2A-JW1605K24,42,experiment,15,→,right,→,0.7506298000007519,True,58
2A-JW1605K24,43,experiment,27,→,right,→,0.700694699999076,True,58
2A-JW1605K24,44,experiment,23,↓,down,↓,0.6670466999985365,True,58
2A-JW1605K24,45,experiment,30,→,right,→,0.6506220999999641,True,58
2A-JW1605K24,46,experiment,13,↓,no_key,no_letter,-1.0,False,58
2A-JW1605K24,47,experiment,19,↓,down,↓,0.617023099999642,True,53
2A-JW1605K24,48,experiment,22,↓,down,↓,0.4505208999999013,True,53
2A-JW1605K24,49,experiment,14,↑,up,↑,0.5339251999994303,True,53
2A-JW1605K24,50,experiment,26,→,right,→,0.68385280000075,True,53
2A-JW1605K24,51,experiment,20,→,right,→,0.6003096000004007,True,53
2A-JW1605K24,52,experiment,27,→,right,→,0.6170581999995193,True,53
2A-JW1605K24,53,experiment,31,↓,down,↓,0.733920600001511,True,53
2A-JW1605K24,54,experiment,17,↓,down,↓,0.6346340999989479,True,53
2A-JW1605K24,55,experiment,23,←,left,←,0.6169998000004853,True,53
2A-JW1605K24,56,experiment,28,→,right,→,0.5670964999990247,True,53
2A-JW1605K24,57,experiment,25,↓,down,↓,0.8336897999997746,True,53
2A-JW1605K24,58,experiment,13,→,right,→,0.5835876000001008,True,53
2A-JW1605K24,59,experiment,18,↑,up,↑,0.617274099999122,True,53
2A-JW1605K24,60,experiment,21,↓,down,↓,0.6837028999998438,True,53
2A-JW1605K24,61,experiment,24,→,left,←,0.5503461999996944,False,53
2A-JW1605K24,62,experiment,30,←,left,←,0.5341404999999213,True,53
2A-JW1605K24,63,experiment,15,↑,up,↑,0.7337456999994174,True,53
2A-JW1605K24,64,experiment,29,→,right,→,0.5836565999998129,True,53
2A-JW1605K24,65,experiment,16,→,no_key,no_letter,-1.0,False,53
2A-JW1605K24,66,experiment,22,↑,up,↑,0.7005576999999903,True,48
2A-JW1605K24,67,experiment,30,↓,down,↓,0.6837074000013672,True,48
2A-JW1605K24,68,experiment,13,←,left,←,0.6836359000008088,True,48
2A-JW1605K24,69,experiment,14,→,right,→,0.51699969999936,True,48
2A-JW1605K24,70,experiment,31,↑,up,↑,0.7337380000008125,True,48
2A-JW1605K24,71,experiment,26,←,left,←,0.700484700000743,True,48
2A-JW1605K24,72,experiment,16,↑,up,↑,0.6838934000006702,True,48
2A-JW1605K24,73,experiment,17,↓,down,↓,0.5833970000003319,True,48
2A-JW1605K24,74,experiment,29,←,no_key,no_letter,-1.0,False,48
2A-JW1605K24,75,experiment,27,←,left,←,0.4339287000002514,True,48
2A-JW1605K24,76,experiment,28,↓,right,→,0.533974699999817,False,48
2A-JW1605K24,77,experiment,19,↑,up,↑,0.5836314000007405,True,48
2A-JW1605K24,78,experiment,24,↑,up,↑,0.617121600000246,True,48
2A-JW1605K24,79,experiment,23,→,right,→,0.7337700999996741,True,48
2A-JW1605K24,80,experiment,15,↓,down,↓,0.46683889999985695,True,48
2A-JW1605K24,81,experiment,21,↓,down,↓,0.6837374999995518,True,48
2A-JW1605K24,82,experiment,25,↓,down,↓,0.4339550999993662,True,48
2A-JW1605K24,83,experiment,18,↓,down,↓,0.5838377000000037,True,48
2A-JW1605K24,84,experiment,20,↓,down,↓,0.6337614999993093,True,48
2A-JW1605K24,85,experiment,15,↓,down,↓,0.6173646000006556,True,43
2A-JW1605K24,86,experiment,14,←,no_key,no_letter,-1.0,False,43
2A-JW1605K24,87,experiment,28,↓,down,↓,0.6672553999997035,True,43
2A-JW1605K24,88,experiment,23,↓,down,↓,0.5006133999995654,True,43
