PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time
2A-KS1102K24,1,training,10,↓,down,↓,0.6507756999926642,True,63
2A-KS1102K24,2,training,10,←,left,←,0.6018544000107795,True,63
2A-KS1102K24,3,training,10,↓,down,↓,0.6676417999551632,True,63
2A-KS1102K24,4,training,10,←,left,←,0.6169624000322074,True,63
2A-KS1102K24,5,training,10,↓,down,↓,0.6004102000151761,True,63
2A-KS1102K24,6,training,10,←,left,←,0.5504420000361279,True,63
2A-KS1102K24,7,training,10,←,left,←,0.8004829999990761,True,63
2A-KS1102K24,8,training,10,↓,down,↓,0.6521821999922395,True,63
2A-KS1102K24,9,experiment,20,↓,no_key,no_letter,-1.0,False,63
2A-KS1102K24,10,experiment,17,↓,down,↓,0.450434900005348,True,63
2A-KS1102K24,11,experiment,28,↑,down,↓,0.6002729999599978,False,63
2A-KS1102K24,12,experiment,21,↑,left,←,0.5339593999669887,False,63
2A-KS1102K24,13,experiment,30,←,left,←,0.8004101000260562,True,63
2A-KS1102K24,14,experiment,14,↓,up,↑,0.5524808000191115,False,63
2A-KS1102K24,15,experiment,16,↑,up,↑,0.7505539999692701,True,63
2A-KS1102K24,16,experiment,13,↓,down,↓,0.6338318000198342,True,63
2A-KS1102K24,17,experiment,26,←,left,←,0.6005322000128217,True,63
2A-KS1102K24,18,experiment,27,↓,down,↓,0.5837836999562569,True,63
2A-KS1102K24,19,experiment,18,↓,down,↓,0.6172169000492431,True,63
2A-KS1102K24,20,experiment,29,→,right,→,0.633786299964413,True,63
2A-KS1102K24,21,experiment,24,←,left,←,0.5505399000248872,True,63
2A-KS1102K24,22,experiment,25,→,right,→,0.6353639000444673,True,63
2A-KS1102K24,23,experiment,19,↑,up,↑,0.7505662000039592,True,63
2A-KS1102K24,24,experiment,31,→,right,→,0.5340732000186108,True,63
2A-KS1102K24,25,experiment,22,→,right,→,0.5674016000120901,True,63
2A-KS1102K24,26,experiment,23,→,right,→,0.5338710999931209,True,63
2A-KS1102K24,27,experiment,15,↓,down,↓,0.7504996999632567,True,63
2A-KS1102K24,28,experiment,14,→,right,→,0.5670558999991044,True,79
2A-KS1102K24,29,experiment,31,↓,down,↓,0.6855830999556929,True,79
2A-KS1102K24,30,experiment,26,→,right,→,0.6004792000167072,True,79
2A-KS1102K24,31,experiment,27,←,left,←,0.7337748999707401,True,79
2A-KS1102K24,32,experiment,20,→,right,→,0.7337835000362247,True,79
2A-KS1102K24,33,experiment,28,↑,up,↑,0.8669696000288241,True,79
2A-KS1102K24,34,experiment,16,↓,down,↓,0.6687956000096165,True,79
2A-KS1102K24,35,experiment,25,↑,up,↑,0.5504842000082135,True,79
2A-KS1102K24,36,experiment,15,↑,up,↑,0.6005727999727242,True,79
2A-KS1102K24,37,experiment,19,→,right,→,0.4506604000343941,True,79
2A-KS1102K24,38,experiment,23,↓,down,↓,0.8838603000040166,True,79
2A-KS1102K24,39,experiment,29,↓,down,↓,0.9005418000160716,True,79
2A-KS1102K24,40,experiment,21,←,left,←,0.7005225999746472,True,79
2A-KS1102K24,41,experiment,13,↑,up,↑,0.5005605000187643,True,79
2A-KS1102K24,42,experiment,17,↑,up,↑,0.43380250001791865,True,79
2A-KS1102K24,43,experiment,18,→,right,→,0.5337822000146843,True,79
2A-KS1102K24,44,experiment,22,↓,down,↓,0.7187324000406079,True,79
2A-KS1102K24,45,experiment,30,→,right,→,0.5507994000217877,True,79
2A-KS1102K24,46,experiment,24,↑,left,←,0.5338896000175737,False,79
2A-KS1102K24,47,experiment,16,→,right,→,0.5838109999895096,True,74
2A-KS1102K24,48,experiment,18,↑,up,↑,0.5338817999581806,True,74
2A-KS1102K24,49,experiment,21,↓,down,↓,0.6839516999898478,True,74
2A-KS1102K24,50,experiment,27,↑,up,↑,0.46706180000910535,True,74
2A-KS1102K24,51,experiment,24,↓,down,↓,0.7837336999946274,True,74
2A-KS1102K24,52,experiment,20,→,right,→,0.6671122999978252,True,74
2A-KS1102K24,53,experiment,28,↓,down,↓,0.8172843999927863,True,74
2A-KS1102K24,54,experiment,25,↓,down,↓,0.5671347000170499,True,74
2A-KS1102K24,55,experiment,29,→,right,→,0.5170543999993242,True,74
2A-KS1102K24,56,experiment,30,↓,down,↓,0.6837756999884732,True,74
2A-KS1102K24,57,experiment,31,←,left,←,0.5505382000119425,True,74
2A-KS1102K24,58,experiment,13,↓,down,↓,0.9338422000291757,True,74
2A-KS1102K24,59,experiment,15,←,no_key,no_letter,-1.0,False,74
2A-KS1102K24,60,experiment,14,↑,up,↑,0.7837784999865107,True,74
2A-KS1102K24,61,experiment,26,→,right,→,0.8005099999718368,True,74
2A-KS1102K24,62,experiment,19,←,left,←,0.6004886000300758,True,74
2A-KS1102K24,63,experiment,23,↑,up,↑,0.5339835000340827,True,74
2A-KS1102K24,64,experiment,17,←,left,←,0.6004795000189915,True,74
2A-KS1102K24,65,experiment,22,↓,down,↓,0.7505458999658003,True,74
2A-KS1102K24,66,experiment,19,→,right,→,0.7504043999942951,True,69
2A-KS1102K24,67,experiment,29,→,right,→,0.6837722999625839,True,69
2A-KS1102K24,68,experiment,14,↑,right,→,0.46718740003416315,False,69
2A-KS1102K24,69,experiment,30,↑,up,↑,0.5840206000139005,True,69
2A-KS1102K24,70,experiment,23,↓,down,↓,0.7173332999809645,True,69
2A-KS1102K24,71,experiment,20,→,right,→,0.6338106999755837,True,69
2A-KS1102K24,72,experiment,21,↑,up,↑,0.5670489000040106,True,69
2A-KS1102K24,73,experiment,16,←,left,←,0.6005016000126489,True,69
2A-KS1102K24,74,experiment,15,→,right,→,0.5002583999885246,True,69
2A-KS1102K24,75,experiment,18,→,right,→,0.5839803999988362,True,69
2A-KS1102K24,76,experiment,24,↑,up,↑,0.5171719000209123,True,69
2A-KS1102K24,77,experiment,22,→,right,→,0.550442700041458,True,69
2A-KS1102K24,78,experiment,28,←,left,←,0.6336620000074618,True,69
2A-KS1102K24,79,experiment,27,↑,up,↑,0.5505317999632098,True,69
2A-KS1102K24,80,experiment,25,↓,down,↓,0.6353388000279665,True,69
2A-KS1102K24,81,experiment,31,↓,down,↓,0.7338636999484152,True,69
2A-KS1102K24,82,experiment,26,→,right,→,0.5505021000280976,True,69
2A-KS1102K24,83,experiment,13,↑,up,↑,0.600705300050322,True,69
2A-KS1102K24,84,experiment,17,↓,down,↓,0.8005134999984875,True,69
2A-KS1102K24,85,experiment,17,↓,up,↑,0.5005629999795929,False,64
2A-KS1102K24,86,experiment,22,←,left,←,0.5169060000334866,True,64
2A-KS1102K24,87,experiment,23,→,right,→,0.6170074000256136,True,64
2A-KS1102K24,88,experiment,26,←,left,←,0.5671346999588422,True,64
2A-KS1102K24,89,experiment,25,→,right,→,0.9671987999463454,True,64
2A-KS1102K24,90,experiment,15,←,left,←,0.5670864999992773,True,64
2A-KS1102K24,91,experiment,24,←,left,←,0.5999956000014208,True,64
2A-KS1102K24,92,experiment,21,←,left,←,0.48375950002809986,True,64
2A-KS1102K24,93,experiment,18,↓,down,↓,0.7172835000092164,True,64
2A-KS1102K24,94,experiment,14,↓,down,↓,0.6172549999901094,True,64
2A-KS1102K24,95,experiment,27,↓,down,↓,0.7354068999993615,True,64
2A-KS1102K24,96,experiment,29,↑,up,↑,0.7504087999695912,True,64
2A-KS1102K24,97,experiment,13,↑,up,↑,0.5838643999886699,True,64
2A-KS1102K24,98,experiment,31,↑,up,↑,0.6004468000028282,True,64
2A-KS1102K24,99,experiment,19,←,left,←,0.5339116000104696,True,64
2A-KS1102K24,100,experiment,20,↓,down,↓,0.8172681999858469,True,64
2A-KS1102K24,101,experiment,16,→,right,→,0.567318300018087,True,64
2A-KS1102K24,102,experiment,28,←,left,←,0.5171732000308111,True,64
2A-KS1102K24,103,experiment,30,←,left,←,0.5020651000086218,True,64
2A-KS1102K24,104,experiment,16,↑,up,↑,0.5687802999746054,True,59
2A-KS1102K24,105,experiment,26,↑,up,↑,0.5024943000171334,True,59
2A-KS1102K24,106,experiment,25,↓,down,↓,0.6506136999814771,True,59
2A-KS1102K24,107,experiment,17,↓,down,↓,0.6675625999923795,True,59
