PART_ID,Trial,Stimuli,Training,FIXTIME,MTIME,Correct,SOA,Level,Reversal,Reversal_count,Latency,Rating
Y2-S2-112M21,1,SQUARES,training,45,17,True,12,-,-,-,0.5840844999911496,-
Y2-S2-112M21,2,SQUARES,training,45,17,True,12,-,-,-,0.1510608999960823,-
Y2-S2-112M21,3,SQUARES,training,45,17,True,12,-,-,-,0.1177622999966843,-
Y2-S2-112M21,4,SQUARES,training,45,17,True,12,-,-,-,0.06742099999974016,-
Y2-S2-112M21,5,SQUARES,training,45,17,True,12,-,-,-,0.20060100000409875,-
Y2-S2-112M21,6,SQUARES,training,45,17,True,12,-,-,-,0.1177012999978615,-
Y2-S2-112M21,7,SQUARES,training,45,17,True,12,-,-,-,0.5175779999990482,-
Y2-S2-112M21,8,SQUARES,training,45,17,True,12,-,-,-,0.06771339999977499,-
Y2-S2-112M21,9,SQUARES,training,45,17,True,12,-,-,-,0.10091660000034608,-
Y2-S2-112M21,10,SQUARES,training,45,17,True,12,-,-,-,0.033883700001752004,-
Y2-S2-112M21,11,SQUARES,training,45,17,True,6,-,-,-,0.16739990000496618,-
Y2-S2-112M21,12,SQUARES,training,45,17,True,6,-,-,-,0.20069620000140276,-
Y2-S2-112M21,13,SQUARES,training,45,17,True,6,-,-,-,0.20114160000230186,-
Y2-S2-112M21,14,SQUARES,training,45,17,True,6,-,-,-,0.23459720000391826,-
Y2-S2-112M21,15,SQUARES,training,45,17,True,6,-,-,-,0.7340366999997059,-
Y2-S2-112M21,16,SQUARES,training,45,17,True,6,-,-,-,0.30079160000605043,-
Y2-S2-112M21,17,SQUARES,training,45,17,False,6,-,-,-,1.634613399990485,-
Y2-S2-112M21,18,SQUARES,training,45,17,True,6,-,-,-,0.36741170000459533,-
Y2-S2-112M21,19,SQUARES,training,45,17,True,6,-,-,-,0.5343962000042666,-
Y2-S2-112M21,20,SQUARES,training,45,17,True,6,-,-,-,0.26732429998810403,-
Y2-S2-112M21,1,SQUARES,exp,45,17,True,6,0,0,0,0.33435289999761153,-
Y2-S2-112M21,2,SQUARES,exp,45,17,True,6,0,0,-,0.18387939999229275,-
Y2-S2-112M21,3,SQUARES,exp,45,17,True,6,1,0,-,0.08400440000696108,-
Y2-S2-112M21,4,SQUARES,exp,45,17,True,5,1,0,-,0.11795929999789223,-
Y2-S2-112M21,5,SQUARES,exp,45,17,True,5,1,0,-,0.28410480001184624,-
