PART_ID,Trial,Stimuli,Training,FIXTIME,MTIME,Correct,SOA,Level,Reversal,Reversal_count,Latency,Rating
PB052K27,1,SQUARES,training,45,17,False,12,-,-,-,1.217216599965468,-
PB052K27,2,SQUARES,training,45,17,False,12,-,-,-,0.43339310004375875,-
PB052K27,3,SQUARES,training,45,17,True,12,-,-,-,0.6339425999904051,-
PB052K27,4,SQUARES,training,45,17,True,12,-,-,-,0.06722540000919253,-
PB052K27,5,SQUARES,training,45,17,True,12,-,-,-,0.050307099940255284,-
PB052K27,6,SQUARES,training,45,17,True,12,-,-,-,0.05068849993404001,-
PB052K27,7,SQUARES,training,45,17,True,12,-,-,-,2.284057299955748,-
PB052K27,8,SQUARES,training,45,17,True,12,-,-,-,1.9505363999633119,-
PB052K27,9,SQUARES,training,45,17,True,12,-,-,-,0.03382219991181046,-
PB052K27,10,SQUARES,training,45,17,True,12,-,-,-,0.08409470005426556,-
PB052K27,11,SQUARES,training,45,17,True,6,-,-,-,0.03401770000346005,-
PB052K27,12,SQUARES,training,45,17,True,6,-,-,-,0.033942599897272885,-
PB052K27,13,SQUARES,training,45,17,True,6,-,-,-,0.8840190999908373,-
PB052K27,14,SQUARES,training,45,17,True,6,-,-,-,0.21719060000032187,-
PB052K27,15,SQUARES,training,45,17,True,6,-,-,-,0.033493999973870814,-
PB052K27,16,SQUARES,training,45,17,True,6,-,-,-,0.1172301999758929,-
PB052K27,17,SQUARES,training,45,17,True,6,-,-,-,0.03391869994811714,-
PB052K27,18,SQUARES,training,45,17,True,6,-,-,-,0.8672687000362203,-
PB052K27,19,SQUARES,training,45,17,True,6,-,-,-,0.5838753000134602,-
PB052K27,20,SQUARES,training,45,17,True,6,-,-,-,0.017123199999332428,-
PB052K27,1,SQUARES,exp,45,17,True,6,0,0,0,1.1838758999947459,-
PB052K27,2,SQUARES,exp,45,17,True,6,1,0,-,0.28386970004066825,-
PB052K27,3,SQUARES,exp,45,17,True,5,1,0,-,0.16742660000454634,-
PB052K27,4,SQUARES,exp,45,17,True,5,1,0,-,0.21718299994245172,-
PB052K27,5,SQUARES,exp,45,17,False,4,-1,1,1,0.08371820009779185,-
PB052K27,6,SQUARES,exp,45,17,True,5,-1,0,-,0.3173767999978736,-
PB052K27,7,SQUARES,exp,45,17,True,5,1,1,2,0.3169939999934286,-
PB052K27,8,SQUARES,exp,45,17,True,4,1,0,-,0.06729360006283969,-
PB052K27,9,SQUARES,exp,45,17,False,4,-1,1,3,0.0507285000057891,-
PB052K27,10,SQUARES,exp,45,17,True,5,-1,0,-,0.16734659997746348,-
PB052K27,11,SQUARES,exp,45,17,True,5,1,1,4,1.5172971999272704,-
PB052K27,12,SQUARES,exp,45,17,False,4,-1,1,5,0.3506859999615699,-
PB052K27,13,SQUARES,exp,45,17,True,5,-1,0,-,0.050562200020067394,-
PB052K27,14,SQUARES,exp,45,17,False,5,-1,0,-,1.7506229999708012,-
PB052K27,15,SQUARES,exp,45,17,True,6,-1,0,-,0.10063609993085265,-
PB052K27,16,SQUARES,exp,45,17,True,6,1,1,6,0.034096900024451315,-
PB052K27,17,SQUARES,exp,45,17,True,5,1,0,-,0.08406699995975941,-
PB052K27,18,SQUARES,exp,45,17,True,5,1,0,-,0.11748660006560385,-
PB052K27,19,SQUARES,exp,45,17,True,4,1,0,-,0.10056579997763038,-
PB052K27,20,SQUARES,exp,45,17,True,4,1,0,-,0.10059929999988526,-
PB052K27,21,SQUARES,exp,45,17,True,3,1,0,-,2.150717500015162,-
PB052K27,22,SQUARES,exp,45,17,True,3,1,0,-,1.11724139994476,-
PB052K27,23,SQUARES,exp,45,17,False,2,-1,1,7,0.38365809991955757,-
PB052K27,24,SQUARES,exp,45,17,True,3,-1,0,-,0.11740920005831867,-
PB052K27,25,SQUARES,exp,45,17,False,3,-1,0,-,1.3339777999790385,-
PB052K27,26,SQUARES,exp,45,17,False,4,-1,0,-,0.1339803000446409,-
PB052K27,27,SQUARES,exp,45,17,False,5,-1,0,-,0.9172664999496192,-
PB052K27,28,SQUARES,exp,45,17,True,6,-1,0,-,0.1172578000696376,-
PB052K27,29,SQUARES,exp,45,17,True,6,1,1,8,0.0675371999386698,-
PB052K27,30,SQUARES,exp,45,17,True,5,1,0,-,0.08394060004502535,-
PB052K27,31,SQUARES,exp,45,17,True,5,1,0,-,0.050571200088597834,-
PB052K27,32,SQUARES,exp,45,17,True,4,1,0,-,0.08388940000440925,-
PB052K27,33,SQUARES,exp,45,17,True,4,1,0,-,0.0842820000834763,-
PB052K27,34,SQUARES,exp,45,17,True,3,1,0,-,0.7006944000022486,-
PB052K27,35,SQUARES,exp,45,17,False,3,-1,1,9,0.5334424999309704,-
PB052K27,36,SQUARES,exp,45,17,True,4,-1,0,-,0.10000410000793636,-
PB052K27,37,SQUARES,exp,45,17,False,4,-1,0,-,0.050541400094516575,-
PB052K27,38,SQUARES,exp,45,17,True,5,-1,0,-,1.1173014999367297,-
PB052K27,39,SQUARES,exp,45,17,True,5,1,1,10,0.0172871999675408,-
PB052K27,1,CIRCLES,training,45,17,True,20,-,-,-,0.0838474000338465,-
PB052K27,2,CIRCLES,training,45,17,True,20,-,-,-,0.8839646000415087,-
PB052K27,3,CIRCLES,training,45,17,True,20,-,-,-,0.8006629999727011,-
PB052K27,4,CIRCLES,training,45,17,True,20,-,-,-,0.4672164999647066,-
PB052K27,5,CIRCLES,training,45,17,True,20,-,-,-,0.6343455999158323,-
PB052K27,6,CIRCLES,training,45,17,True,20,-,-,-,0.5005072000203654,-
PB052K27,7,CIRCLES,training,45,17,True,20,-,-,-,0.38412780000362545,-
PB052K27,8,CIRCLES,training,45,17,True,20,-,-,-,0.30040820001158863,-
PB052K27,9,CIRCLES,training,45,17,True,20,-,-,-,0.8672536999220029,-
PB052K27,10,CIRCLES,training,45,17,True,20,-,-,-,0.4511948999715969,-
PB052K27,11,CIRCLES,training,45,17,True,10,-,-,-,0.03387419995851815,-
PB052K27,12,CIRCLES,training,45,17,True,10,-,-,-,0.46723389998078346,-
PB052K27,13,CIRCLES,training,45,17,True,10,-,-,-,0.4673596000066027,-
PB052K27,14,CIRCLES,training,45,17,True,10,-,-,-,0.4170461999019608,-
PB052K27,15,CIRCLES,training,45,17,True,10,-,-,-,0.05053160001989454,-
PB052K27,16,CIRCLES,training,45,17,True,10,-,-,-,0.033962300047278404,-
PB052K27,17,CIRCLES,training,45,17,True,10,-,-,-,0.5340657000197098,-
PB052K27,18,CIRCLES,training,45,17,True,10,-,-,-,0.3841776999179274,-
PB052K27,19,CIRCLES,training,45,17,True,10,-,-,-,0.400226500001736,-
PB052K27,20,CIRCLES,training,45,17,True,10,-,-,-,0.45011259999591857,-
