PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count
072M29,1,1,PS,train,33,→,right,→,0.6171324000000027,True,30,-,-,-
072M29,1,2,PS,train,31,↓,down,↓,0.7757265000000189,True,30,-,-,-
072M29,1,3,PS,train,30,←,no_key,no_letter,-1.0,False,30,-,-,-
072M29,1,4,PS,train,29,↑,no_key,no_letter,-1.0,False,30,-,-,-
072M29,1,5,PS,train,36,←,left,←,0.6689296000000127,True,30,-,-,-
072M29,1,6,PS,train,35,→,right,→,0.5837994000000037,True,30,-,-,-
072M29,1,7,PS,train,46,↑,up,↑,0.5838290000000086,True,30,-,-,-
072M29,1,8,PS,train,46,→,right,→,0.46817619999998783,True,30,-,-,-
072M29,1,9,PS,train,40,↓,down,↓,0.4837892000000181,True,30,-,-,-
072M29,1,10,PS,train,28,←,left,←,0.567005800000004,True,30,-,-,-
072M29,2,11,AS,train,30,↓,down,↓,0.5845658000000071,True,45,-,-,-
072M29,2,12,AS,train,42,←,left,←,0.7502762999999959,True,45,-,-,-
072M29,2,13,AS,train,49,→,no_key,no_letter,-1.0,False,45,-,-,-
072M29,2,14,AS,train,31,←,left,←,0.9200554999999895,True,45,-,-,-
072M29,2,15,AS,train,27,→,right,→,0.7172327000000109,True,45,-,-,-
072M29,2,16,AS,train,26,↓,down,↓,0.584068899999977,True,45,-,-,-
072M29,2,17,AS,train,34,→,right,→,0.6848255999999822,True,45,-,-,-
072M29,2,18,AS,train,40,↑,up,↑,0.9254213000000107,True,45,-,-,-
072M29,2,19,AS,train,34,→,right,→,0.7336563000000069,True,45,-,-,-
072M29,2,20,AS,train,37,↑,up,↑,0.5521227000000124,True,45,-,-,-
072M29,-,21,PS,adaptive,37,↓,down,↓,0.6402826000000061,True,10,0,0,0
072M29,-,22,PS,adaptive,29,←,left,←,0.48203979999999547,True,10,1,0,0
072M29,-,23,PS,adaptive,39,↑,up,↑,0.8137360999999999,True,9,1,0,0
072M29,-,24,PS,adaptive,44,→,right,→,0.4539491999999825,True,9,1,0,0
072M29,-,25,PS,adaptive,29,←,left,←,0.5528635000000008,True,8,1,0,0
072M29,-,26,PS,adaptive,33,↓,down,↓,0.5370108000000187,True,8,1,0,0
072M29,-,27,PS,adaptive,38,←,left,←,0.5431470000000047,True,7,1,0,0
072M29,-,28,PS,adaptive,35,↑,up,↑,0.6039541000000099,True,7,1,0,0
072M29,-,29,PS,adaptive,40,←,left,←,0.5878042999999877,True,6,1,0,0
072M29,-,30,PS,adaptive,42,↓,up,↑,0.8345067999999856,False,6,-1,1,1
072M29,-,31,PS,adaptive,33,↑,up,↑,0.6194457,True,7,-1,0,1
072M29,-,32,PS,adaptive,34,↓,right,→,0.7006411000000128,False,7,-1,0,1
072M29,-,33,PS,adaptive,41,→,right,→,0.5895083000000056,True,8,-1,0,1
072M29,-,34,PS,adaptive,46,↓,down,↓,0.5535597000000223,True,8,1,1,2
072M29,-,35,PS,adaptive,47,←,left,←,0.5718959000000154,True,7,1,0,2
072M29,-,36,PS,adaptive,40,→,right,→,0.598884599999991,True,7,1,0,2
072M29,-,37,PS,adaptive,47,↑,left,←,0.5538632999999891,False,6,-1,1,3
072M29,-,38,PS,adaptive,40,↓,down,↓,0.5637356000000011,True,7,-1,0,3
072M29,-,39,PS,adaptive,40,←,right,→,0.756895400000019,False,7,-1,0,3
072M29,-,40,PS,adaptive,25,→,right,→,0.6892281000000082,True,8,-1,0,3
072M29,-,41,PS,adaptive,43,↓,down,↓,0.5077367000000095,True,8,1,1,4
072M29,-,42,AS,adaptive,32,↑,up,↑,0.793031300000024,True,20,0,0,0
072M29,-,43,AS,adaptive,37,←,left,←,0.6939753000000053,True,20,1,0,0
072M29,-,44,AS,adaptive,41,→,left,←,0.5922003000000018,False,19,-1,1,1
072M29,-,45,AS,adaptive,34,↑,up,↑,0.7836350999999979,True,20,-1,0,1
072M29,-,46,AS,adaptive,43,↓,down,↓,0.580280799999997,True,20,1,1,2
072M29,-,47,AS,adaptive,32,↑,up,↑,0.952297399999992,True,19,1,0,2
072M29,-,48,AS,adaptive,40,→,right,→,0.6581352999999979,True,19,1,0,2
072M29,-,49,AS,adaptive,44,↓,down,↓,1.1101917999999955,True,18,1,0,2
072M29,-,50,AS,adaptive,48,←,up,↑,0.8980078000000162,False,18,-1,1,3
072M29,-,51,AS,adaptive,43,↓,down,↓,0.6280097000000069,True,19,-1,0,3
072M29,-,52,AS,adaptive,36,←,up,↑,0.8831061000000204,False,19,-1,0,3
072M29,-,53,AS,adaptive,45,→,right,→,0.5691737999999873,True,20,-1,0,3
072M29,-,54,AS,adaptive,49,↑,down,↓,0.8489648000000329,False,20,-1,0,3
