PART_ID,Block_no,Trial_no,Block_type,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr,Stimulus Time,Level,Reversal,Revs_count

PB034M28,1,1,PS,train,37,↑,no_key,no_letter,-1.0,False,30,-,-,-

PB034M28,1,2,PS,train,28,←,left,←,0.6337515999912284,True,30,-,-,-

PB034M28,1,3,PS,train,36,↑,up,↑,0.5672245000023395,True,30,-,-,-

PB034M28,1,4,PS,train,35,←,left,←,0.5505272999871522,True,30,-,-,-

PB034M28,1,5,PS,train,36,→,right,→,0.4508660000283271,True,30,-,-,-

PB034M28,1,6,PS,train,45,↑,up,↑,0.5171495000249706,True,30,-,-,-

PB034M28,1,7,PS,train,36,→,right,→,0.46784840000327677,True,30,-,-,-

PB034M28,1,8,PS,train,44,↓,down,↓,0.6338631000253372,True,30,-,-,-

PB034M28,1,9,PS,train,41,←,left,←,0.533760899968911,True,30,-,-,-

PB034M28,1,10,PS,train,32,↑,up,↑,0.5505825000000186,True,30,-,-,-

PB034M28,2,11,AS,train,26,→,right,→,0.6846193000092171,True,45,-,-,-

PB034M28,2,12,AS,train,47,↓,down,↓,0.7839422999531962,True,45,-,-,-

PB034M28,2,13,AS,train,28,↑,up,↑,0.7340867000166327,True,45,-,-,-

PB034M28,2,14,AS,train,26,→,right,→,0.7338844000478275,True,45,-,-,-

PB034M28,2,15,AS,train,47,↓,down,↓,0.517683699959889,True,45,-,-,-

PB034M28,2,16,AS,train,29,↑,up,↑,1.042158099997323,True,45,-,-,-

PB034M28,2,17,AS,train,37,←,left,←,0.6012582000112161,True,45,-,-,-

PB034M28,2,18,AS,train,43,↓,down,↓,2.3741233000182547,True,45,-,-,-

PB034M28,2,19,AS,train,43,←,left,←,0.46785880002425984,True,45,-,-,-

PB034M28,2,20,AS,train,41,→,right,→,0.784051000024192,True,45,-,-,-

PB034M28,-,21,PS,adaptive,38,←,left,←,0.6715635999571532,True,10,0,0,0

PB034M28,-,22,PS,adaptive,44,↑,up,↑,0.5757569999550469,True,10,1,0,0

PB034M28,-,23,PS,adaptive,35,←,left,←,0.5793002999853343,True,9,1,0,0

PB034M28,-,24,PS,adaptive,32,↑,up,↑,0.6473658999893814,True,9,1,0,0

PB034M28,-,25,PS,adaptive,48,←,left,←,0.5675124999834225,True,8,1,0,0

PB034M28,-,26,PS,adaptive,39,→,right,→,0.5520977000123821,True,8,1,0,0

PB034M28,-,27,PS,adaptive,36,↑,up,↑,0.4958805000060238,True,7,1,0,0

PB034M28,-,28,PS,adaptive,47,→,right,→,0.5092063999618404,True,7,1,0,0

PB034M28,-,29,PS,adaptive,41,↓,down,↓,0.6743758000084199,True,6,1,0,0

PB034M28,-,30,PS,adaptive,44,→,right,→,0.4880002999561839,True,6,1,0,0

PB034M28,-,31,PS,adaptive,43,↑,up,↑,0.8100876999669708,True,5,1,0,0

PB034M28,-,32,PS,adaptive,39,←,left,←,0.49646489997394383,True,5,1,0,0

PB034M28,-,33,PS,adaptive,40,↓,down,↓,0.6774772999924608,True,4,1,0,0

PB034M28,-,34,PS,adaptive,49,↑,up,↑,0.6438940999796614,True,4,1,0,0

PB034M28,-,35,PS,adaptive,42,→,right,→,0.6177335999673232,True,3,1,0,0

PB034M28,-,36,PS,adaptive,32,←,left,←,0.5539585999795236,True,3,1,0,0

PB034M28,-,37,PS,adaptive,34,→,right,→,0.631778699986171,True,2,1,0,0

PB034M28,-,38,PS,adaptive,50,←,left,←,0.5797712999628857,True,2,1,0,0

PB034M28,-,39,PS,adaptive,40,↑,left,←,0.6336479999590665,False,1,-1,1,1

PB034M28,-,40,PS,adaptive,38,↓,right,→,1.1581583000370301,False,2,-1,0,1

PB034M28,-,41,PS,adaptive,35,←,left,←,0.6310794000164606,True,3,-1,0,1

PB034M28,-,42,PS,adaptive,48,→,left,←,0.5778997000306845,False,3,-1,0,1

PB034M28,-,43,PS,adaptive,28,↑,left,←,1.4308933000429533,False,4,-1,0,1

PB034M28,-,44,PS,adaptive,48,←,left,←,0.6336536000017077,True,5,-1,0,1

PB034M28,-,45,PS,adaptive,28,↑,up,↑,1.2956538000144064,True,5,1,1,2

PB034M28,-,46,PS,adaptive,25,→,right,→,1.5555235999636352,True,4,1,0,2

PB034M28,-,47,PS,adaptive,40,↑,left,←,1.1198267000145279,False,4,-1,1,3

PB034M28,-,48,PS,adaptive,45,→,right,→,0.5453815999790095,True,5,-1,0,3

PB034M28,-,49,PS,adaptive,39,←,up,↑,1.716956600022968,False,5,-1,0,3

PB034M28,-,50,PS,adaptive,38,↑,left,←,0.8747910999809392,False,6,-1,0,3

PB034M28,-,51,PS,adaptive,37,←,left,←,0.6915061000036076,True,7,-1,0,3

PB034M28,-,52,PS,adaptive,46,→,left,←,1.4838128000264987,False,7,-1,0,3

PB034M28,-,53,PS,adaptive,45,←,left,←,0.6125355999683961,True,8,-1,0,3

PB034M28,-,54,PS,adaptive,46,→,right,→,0.6856316999765113,True,8,1,1,4

PB034M28,-,55,AS,adaptive,26,↑,up,↑,0.7422626999905333,True,20,0,0,0

PB034M28,-,56,AS,adaptive,26,↓,down,↓,0.7835435000015423,True,20,1,0,0

PB034M28,-,57,AS,adaptive,30,↑,up,↑,0.6791577999829315,True,19,1,0,0

PB034M28,-,58,AS,adaptive,33,←,left,←,0.5761757000000216,True,19,1,0,0

PB034M28,-,59,AS,adaptive,27,↓,right,→,0.857666399970185,False,18,-1,1,1

PB034M28,-,60,AS,adaptive,42,←,left,←,0.7139731000061147,True,19,-1,0,1

PB034M28,-,61,AS,adaptive,30,↓,down,↓,0.7854441999807023,True,19,1,1,2

PB034M28,-,62,AS,adaptive,45,↑,up,↑,0.6940304999588989,True,18,1,0,2

PB034M28,-,63,AS,adaptive,30,←,left,←,0.7147084000171162,True,18,1,0,2

PB034M28,-,64,AS,adaptive,41,↓,down,↓,0.8997839000076056,True,17,1,0,2

PB034M28,-,65,AS,adaptive,42,↑,up,↑,0.6721261999919079,True,17,1,0,2

PB034M28,-,66,AS,adaptive,39,↓,down,↓,0.7385101999971084,True,16,1,0,2

PB034M28,-,67,AS,adaptive,32,←,left,←,0.5345240999595262,True,16,1,0,2

PB034M28,-,68,AS,adaptive,30,→,right,→,0.6012478999909945,True,15,1,0,2

PB034M28,-,69,AS,adaptive,34,↓,down,↓,0.7903229999938048,True,15,1,0,2

PB034M28,-,70,AS,adaptive,30,→,right,→,0.5412708999938332,True,14,1,0,2

PB034M28,-,71,AS,adaptive,28,↑,up,↑,0.5756433000206016,True,14,1,0,2

PB034M28,-,72,AS,adaptive,27,←,left,←,0.7991441999911331,True,13,1,0,2

PB034M28,-,73,AS,adaptive,36,↓,down,↓,1.3434433999937028,True,13,1,0,2

PB034M28,-,74,AS,adaptive,45,←,right,→,0.67762649996439,False,12,-1,1,3

PB034M28,-,75,AS,adaptive,26,↓,down,↓,0.7497232999885455,True,13,-1,0,3

PB034M28,-,76,AS,adaptive,36,↑,up,↑,0.5808748000417836,True,13,1,1,4

PB034M28,1,77,AS,intra_train,49,→,right,→,0.6380826999666169,True,18,-,-,-

PB034M28,1,78,AS,intra_train,38,↓,left,←,1.4739868000033312,False,18,-,-,-

PB034M28,1,79,AS,intra_train,27,↑,up,↑,0.8033651000005193,True,18,-,-,-

PB034M28,1,80,AS,intra_train,35,←,left,←,0.5609451999771409,True,18,-,-,-

PB034M28,1,81,AS,intra_train,46,→,right,→,0.562206500035245,True,18,-,-,-

PB034M28,1,82,AS,exp,47,←,left,←,0.6956010999856517,True,12,0,0,0

PB034M28,1,83,AS,exp,43,→,left,←,0.8117177999811247,False,12,-1,0,0

PB034M28,1,84,AS,exp,28,↑,left,←,0.7712422999902628,False,13,-1,0,0

PB034M28,1,85,AS,exp,41,↓,right,→,1.2361407999997027,False,14,-1,0,0

PB034M28,1,86,AS,exp,50,←,left,←,0.721778400009498,True,15,-1,0,0

PB034M28,1,87,AS,exp,48,↓,up,↑,1.0466493000276387,False,15,-1,0,0

PB034M28,1,88,AS,exp,47,→,right,→,0.608765900018625,True,16,-1,0,0

PB034M28,1,89,AS,exp,43,↑,up,↑,0.6874250999535434,True,16,1,1,1

PB034M28,1,90,AS,exp,33,←,left,←,0.7685303000034764,True,15,1,0,1

PB034M28,1,91,AS,exp,26,↑,up,↑,0.6614143999759108,True,15,1,0,1

PB034M28,1,92,AS,exp,30,←,left,←,0.6368949000025168,True,14,1,0,1

PB034M28,1,93,AS,exp,47,→,right,→,0.509465100010857,True,14,1,0,1

PB034M28,1,94,AS,exp,34,↓,down,↓,0.7374269000138156,True,13,1,0,1

PB034M28,1,95,AS,exp,42,→,right,→,0.5642494999920018,True,13,1,0,1

PB034M28,1,96,AS,exp,26,↓,up,↑,0.7216864000074565,False,12,-1,1,2

PB034M28,1,97,AS,exp,30,←,left,←,0.7102931000408716,True,13,-1,0,2

PB034M28,1,98,AS,exp,41,→,right,→,0.5308845999534242,True,13,1,1,3

PB034M28,1,99,AS,exp,30,↓,down,↓,0.743007899960503,True,12,1,0,3

PB034M28,1,100,AS,exp,25,→,right,→,0.6712694000452757,True,12,1,0,3

PB034M28,1,101,AS,exp,33,↑,left,←,0.8995872000232339,False,11,-1,1,4

PB034M28,1,102,AS,exp,50,→,right,→,0.5544503999990411,True,12,-1,0,4

PB034M28,1,103,AS,exp,34,←,left,←,0.5264727000030689,True,12,1,1,5

PB034M28,1,104,AS,exp,45,↑,right,→,0.7355758000048809,False,11,-1,1,6

PB034M28,1,105,AS,exp,40,←,left,←,0.8586988999741152,True,12,-1,0,6

PB034M28,1,106,AS,exp,41,→,right,→,0.430098699987866,True,12,1,1,7

PB034M28,1,107,AS,exp,48,↑,up,↑,0.515898699988611,True,11,1,0,7

PB034M28,1,108,AS,exp,46,→,right,→,0.5357499999809079,True,11,1,0,7

PB034M28,1,109,AS,exp,40,↑,up,↑,0.5593160000280477,True,10,1,0,7

PB034M28,1,110,AS,exp,50,←,left,←,0.631795699999202,True,10,1,0,7

PB034M28,1,111,AS,exp,29,↓,down,↓,0.7924776999861933,True,9,1,0,7

PB034M28,1,112,AS,exp,36,→,left,←,0.8829198000021279,False,9,-1,1,8

PB034M28,1,113,AS,exp,47,↑,left,←,0.8111422000220045,False,10,-1,0,8

PB034M28,1,114,AS,exp,48,↓,down,↓,0.6975765000097454,True,11,-1,0,8

PB034M28,1,115,AS,exp,50,→,right,→,0.6582798999734223,True,11,1,1,9

PB034M28,1,116,AS,exp,45,←,right,→,0.6502752000233158,False,10,-1,1,10

PB034M28,1,117,AS,exp,29,↓,right,→,1.2216698999982327,False,11,-1,0,10

PB034M28,1,118,AS,exp,29,↑,up,↑,0.7343210999970324,True,12,-1,0,10

PB034M28,1,119,AS,exp,29,→,right,→,0.6049003000371158,True,12,1,1,11

PB034M28,1,120,AS,exp,33,↑,up,↑,1.1478578000096604,True,11,1,0,11

PB034M28,1,121,AS,exp,26,↓,up,↑,0.7188767000334337,False,11,-1,1,12

PB034M28,1,122,AS,exp,50,↑,right,→,0.7134489999734797,False,12,-1,0,12

PB034M28,1,123,AS,exp,35,↓,up,↑,0.7292895999853499,False,13,-1,0,12

PB034M28,1,124,AS,exp,29,→,no_key,no_letter,-1.0,False,14,-1,0,12

PB034M28,1,125,AS,exp,36,↓,down,↓,0.6244630999863148,True,15,-1,0,12

PB034M28,1,126,AS,exp,36,←,right,→,0.4398464999976568,False,15,-1,0,12

PB034M28,1,127,AS,exp,32,→,no_key,no_letter,-1.0,False,16,-1,0,12

PB034M28,1,128,AS,exp,34,↓,right,→,1.178850100026466,False,17,-1,0,12

PB034M28,1,129,AS,exp,34,←,left,←,0.6718547999626026,True,18,-1,0,12

PB034M28,1,130,AS,exp,47,→,right,→,0.5803399000433274,True,18,1,1,13

PB034M28,1,131,AS,exp,25,↓,down,↓,0.7921944000408985,True,17,1,0,13

PB034M28,1,132,AS,exp,32,←,left,←,0.5986516000120901,True,17,1,0,13

PB034M28,1,133,AS,exp,30,↓,down,↓,0.7957745000021532,True,16,1,0,13

PB034M28,1,134,AS,exp,38,←,left,←,0.6152956000296399,True,16,1,0,13

PB034M28,1,135,AS,exp,39,↓,down,↓,0.7579662000061944,True,15,1,0,13

PB034M28,1,136,AS,exp,46,→,right,→,0.4635767999570817,True,15,1,0,13

PB034M28,1,137,AS,exp,46,←,left,←,0.6803060999955051,True,14,1,0,13

PB034M28,1,138,AS,exp,46,→,right,→,1.1885877000167966,True,14,1,0,13

PB034M28,1,139,AS,exp,43,←,left,←,0.6563143000239506,True,13,1,0,13

PB034M28,1,140,AS,exp,28,→,right,→,0.6852834000019357,True,13,1,0,13

PB034M28,1,141,AS,exp,46,←,right,→,1.3248291999916546,False,12,-1,1,14

PB034M28,2,142,PS,intra_train,31,→,right,→,0.5469137000036426,True,10,-,-,-

PB034M28,2,143,PS,intra_train,26,↑,up,↑,0.6835261999513023,True,10,-,-,-

PB034M28,2,144,PS,intra_train,40,←,right,→,0.8570951000438072,False,10,-,-,-

PB034M28,2,145,PS,intra_train,28,↓,down,↓,0.7156894000363536,True,10,-,-,-

PB034M28,2,146,PS,intra_train,30,↑,up,↑,0.5462065999745391,True,10,-,-,-

PB034M28,2,147,PS,exp,38,→,right,→,0.827963899995666,True,7,0,0,0

PB034M28,2,148,PS,exp,26,←,right,→,0.8730592999490909,False,7,-1,0,0

PB034M28,2,149,PS,exp,27,↑,up,↑,0.6907428999547847,True,8,-1,0,0

PB034M28,2,150,PS,exp,27,↓,right,→,0.7828997999895364,False,8,-1,0,0

PB034M28,2,151,PS,exp,32,→,right,→,0.9217419999768026,True,9,-1,0,0

PB034M28,2,152,PS,exp,47,←,left,←,0.6995416000136174,True,9,1,1,1

PB034M28,2,153,PS,exp,31,↑,right,→,1.3517337000230327,False,8,-1,1,2

PB034M28,2,154,PS,exp,37,←,left,←,0.6970072999829426,True,9,-1,0,2

PB034M28,2,155,PS,exp,30,→,right,→,0.48629809997510165,True,9,1,1,3

PB034M28,2,156,PS,exp,49,↑,right,→,0.513069299980998,False,8,-1,1,4

PB034M28,2,157,PS,exp,26,→,left,←,1.0228428000118583,False,9,-1,0,4

PB034M28,2,158,PS,exp,36,↓,down,↓,0.6856588000082411,True,10,-1,0,4

PB034M28,2,159,PS,exp,25,←,left,←,0.6125148000428453,True,10,1,1,5

PB034M28,2,160,PS,exp,27,↑,up,↑,0.6751626000041142,True,9,1,0,5

PB034M28,2,161,PS,exp,35,→,right,→,0.6108765000244603,True,9,1,0,5

PB034M28,2,162,PS,exp,44,↓,down,↓,1.0163646999862976,True,8,1,0,5

PB034M28,2,163,PS,exp,44,←,left,←,0.6835315999924205,True,8,1,0,5

PB034M28,2,164,PS,exp,50,↓,down,↓,0.6788626000052318,True,7,1,0,5

PB034M28,2,165,PS,exp,48,↑,up,↑,0.517954999988433,True,7,1,0,5

PB034M28,2,166,PS,exp,27,←,left,←,1.3347554000210948,True,6,1,0,5

PB034M28,2,167,PS,exp,39,→,right,→,0.5137140000006184,True,6,1,0,5

PB034M28,2,168,PS,exp,43,←,right,→,0.6676433000247926,False,5,-1,1,6

PB034M28,2,169,PS,exp,36,↓,left,←,0.821691200020723,False,6,-1,0,6

PB034M28,2,170,PS,exp,27,←,left,←,0.48634330002823845,True,7,-1,0,6

PB034M28,2,171,PS,exp,47,↓,left,←,1.0837242000270635,False,7,-1,0,6

PB034M28,2,172,PS,exp,44,→,right,→,0.4936710999463685,True,8,-1,0,6

PB034M28,2,173,PS,exp,36,↑,down,↓,0.8684827999677509,False,8,-1,0,6

PB034M28,2,174,PS,exp,38,←,left,←,0.5256827999837697,True,9,-1,0,6

PB034M28,2,175,PS,exp,43,↓,down,↓,0.5427167000016198,True,9,1,1,7

PB034M28,2,176,PS,exp,28,→,right,→,0.4829522999934852,True,8,1,0,7

PB034M28,2,177,PS,exp,32,←,right,→,0.8323012999608181,False,8,-1,1,8

PB034M28,2,178,PS,exp,31,↑,up,↑,0.552438999991864,True,9,-1,0,8

PB034M28,2,179,PS,exp,46,↓,down,↓,0.5791322999866679,True,9,1,1,9

PB034M28,2,180,PS,exp,48,↑,up,↑,0.5743148000328802,True,8,1,0,9

PB034M28,2,181,PS,exp,25,→,right,→,0.396673200011719,True,8,1,0,9

PB034M28,2,182,PS,exp,25,←,left,←,0.47869190003257245,True,7,1,0,9

PB034M28,2,183,PS,exp,36,→,right,→,0.5709307999932207,True,7,1,0,9

PB034M28,2,184,PS,exp,36,←,left,←,0.5183065999881364,True,6,1,0,9

PB034M28,2,185,PS,exp,29,→,right,→,0.399994500039611,True,6,1,0,9

PB034M28,2,186,PS,exp,50,↓,right,→,1.1647644000477158,False,5,-1,1,10

PB034M28,2,187,PS,exp,50,←,left,←,0.628084099967964,True,6,-1,0,10

PB034M28,2,188,PS,exp,41,→,right,→,0.5358218000037596,True,6,1,1,11

PB034M28,2,189,PS,exp,26,↑,right,→,0.9487164999591187,False,5,-1,1,12

PB034M28,2,190,PS,exp,39,→,right,→,0.4909458000329323,True,6,-1,0,12

PB034M28,2,191,PS,exp,47,↓,no_key,no_letter,-1.0,False,6,-1,0,12

PB034M28,2,192,PS,exp,30,↑,left,←,0.8304459999781102,False,7,-1,0,12

PB034M28,2,193,PS,exp,37,→,right,→,0.42107969999779016,True,8,-1,0,12

PB034M28,2,194,PS,exp,44,↓,down,↓,0.5561082000494935,True,8,1,1,13

PB034M28,2,195,PS,exp,32,→,right,→,0.42618020001100376,True,7,1,0,13

PB034M28,2,196,PS,exp,44,↓,down,↓,0.6341165999765508,True,7,1,0,13

PB034M28,2,197,PS,exp,31,←,left,←,0.7348762999754399,True,6,1,0,13

PB034M28,2,198,PS,exp,27,→,left,←,0.7700348000507802,False,6,-1,1,14

PB034M28,3,199,PS,intra_train,40,↓,down,↓,0.5646993999835104,True,10,-,-,-

PB034M28,3,200,PS,intra_train,25,→,right,→,0.5482278999988921,True,10,-,-,-

PB034M28,3,201,PS,intra_train,35,↑,up,↑,0.629484000033699,True,10,-,-,-

PB034M28,3,202,PS,intra_train,32,←,left,←,0.5464151999913156,True,10,-,-,-

PB034M28,3,203,PS,intra_train,45,→,right,→,0.7190067000337876,True,10,-,-,-

PB034M28,3,204,PS,exp,39,←,left,←,0.5807303999899887,True,7,0,0,0

PB034M28,3,205,PS,exp,36,↑,up,↑,0.5055979000171646,True,7,1,0,0

PB034M28,3,206,PS,exp,42,↓,down,↓,0.5591439999989234,True,6,1,0,0

PB034M28,3,207,PS,exp,36,→,right,→,0.510675200028345,True,6,1,0,0

PB034M28,3,208,PS,exp,25,↓,right,→,0.9300952000194229,False,5,-1,1,1

PB034M28,3,209,PS,exp,48,←,left,←,1.7593478999915533,True,6,-1,0,1

PB034M28,3,210,PS,exp,44,→,right,→,0.5717691999743693,True,6,1,1,2

PB034M28,3,211,PS,exp,38,↑,up,↑,0.5732832999783568,True,5,1,0,2

PB034M28,3,212,PS,exp,49,→,right,→,0.8932713000103831,True,5,1,0,2

PB034M28,3,213,PS,exp,42,↓,down,↓,0.6180203999974765,True,4,1,0,2

PB034M28,3,214,PS,exp,45,↑,up,↑,1.147070100007113,True,4,1,0,2

PB034M28,3,215,PS,exp,49,↓,left,←,1.3322834999999031,False,3,-1,1,3

PB034M28,3,216,PS,exp,30,↑,up,↑,1.0933673999970779,True,4,-1,0,3

PB034M28,3,217,PS,exp,38,←,left,←,0.8820312999887392,True,4,1,1,4

PB034M28,3,218,PS,exp,49,↑,left,←,0.7401134999818169,False,3,-1,1,5

PB034M28,3,219,PS,exp,37,→,right,→,0.49752919998718426,True,4,-1,0,5

PB034M28,3,220,PS,exp,48,↓,left,←,0.9122987000155263,False,4,-1,0,5

PB034M28,3,221,PS,exp,28,→,right,→,1.0953979000332765,True,5,-1,0,5

PB034M28,3,222,PS,exp,37,↓,left,←,0.9285410000011325,False,5,-1,0,5

PB034M28,3,223,PS,exp,40,→,right,→,0.6182124000042677,True,6,-1,0,5

PB034M28,3,224,PS,exp,48,↑,right,→,1.4198417000006884,False,6,-1,0,5

PB034M28,3,225,PS,exp,33,↓,right,→,1.4812735000159591,False,7,-1,0,5

PB034M28,3,226,PS,exp,35,↑,up,↑,0.8044415999902412,True,8,-1,0,5

PB034M28,3,227,PS,exp,27,←,left,←,1.4766685999929905,True,8,1,1,6

PB034M28,3,228,PS,exp,31,→,no_key,no_letter,-1.0,False,7,-1,1,7

PB034M28,3,229,PS,exp,30,↑,up,↑,0.49109470000257716,True,8,-1,0,7

PB034M28,3,230,PS,exp,41,←,left,←,0.5707338000065647,True,8,1,1,8

PB034M28,3,231,PS,exp,33,↑,right,→,0.5058518000296317,False,7,-1,1,9

PB034M28,3,232,PS,exp,36,↓,down,↓,0.5880070000421256,True,8,-1,0,9

PB034M28,3,233,PS,exp,34,←,left,←,0.5444788999739103,True,8,1,1,10

PB034M28,3,234,PS,exp,48,↓,down,↓,0.3980075999861583,True,7,1,0,10

PB034M28,3,235,PS,exp,37,↑,up,↑,0.5539950999664143,True,7,1,0,10

PB034M28,3,236,PS,exp,39,↓,left,←,0.6451310999691486,False,6,-1,1,11

PB034M28,3,237,PS,exp,48,↑,left,←,0.7602594000054523,False,7,-1,0,11

PB034M28,3,238,PS,exp,46,→,right,→,0.6139924000017345,True,8,-1,0,11

PB034M28,3,239,PS,exp,40,←,left,←,0.6071358000044711,True,8,1,1,12

PB034M28,3,240,PS,exp,38,→,right,→,0.971372900006827,True,7,1,0,12

PB034M28,3,241,PS,exp,48,←,left,←,0.5050272999797016,True,7,1,0,12

PB034M28,3,242,PS,exp,27,→,right,→,0.47525699995458126,True,6,1,0,12

PB034M28,3,243,PS,exp,42,←,left,←,0.7911631999886595,True,6,1,0,12

PB034M28,3,244,PS,exp,36,→,left,←,0.8531038999790326,False,5,-1,1,13

PB034M28,3,245,PS,exp,41,←,left,←,0.9174279000144452,True,6,-1,0,13

PB034M28,3,246,PS,exp,47,↓,right,→,0.5215820000157692,False,6,-1,0,13

PB034M28,3,247,PS,exp,48,←,left,←,0.5559765000361949,True,7,-1,0,13

PB034M28,3,248,PS,exp,43,→,right,→,0.49490610003704205,True,7,1,1,14

PB034M28,4,249,AS,intra_train,36,↓,down,↓,0.7542501999996603,True,18,-,-,-

PB034M28,4,250,AS,intra_train,47,←,left,←,0.7184908000053838,True,18,-,-,-

PB034M28,4,251,AS,intra_train,38,→,right,→,0.535947100026533,True,18,-,-,-

PB034M28,4,252,AS,intra_train,46,←,left,←,0.4884781999862753,True,18,-,-,-

PB034M28,4,253,AS,intra_train,43,→,right,→,0.6498936000280082,True,18,-,-,-

PB034M28,4,254,AS,exp,27,←,left,←,0.572163000004366,True,12,0,0,0

PB034M28,4,255,AS,exp,47,→,right,→,0.5248503000475466,True,12,1,0,0

PB034M28,4,256,AS,exp,47,↓,left,←,1.254012799996417,False,11,-1,1,1

PB034M28,4,257,AS,exp,47,↑,up,↑,0.5826570999925025,True,12,-1,0,1

PB034M28,4,258,AS,exp,29,←,left,←,0.6243855999782681,True,12,1,1,2

PB034M28,4,259,AS,exp,26,→,right,→,0.48942260001786053,True,11,1,0,2

PB034M28,4,260,AS,exp,36,←,left,←,0.5286485999822617,True,11,1,0,2

PB034M28,4,261,AS,exp,26,↑,up,↑,0.6375615000142716,True,10,1,0,2

PB034M28,4,262,AS,exp,45,←,left,←,0.5004759000148624,True,10,1,0,2

PB034M28,4,263,AS,exp,44,↑,up,↑,0.4807814999949187,True,9,1,0,2

PB034M28,4,264,AS,exp,30,↓,up,↑,0.6490411999984644,False,9,-1,1,3

PB034M28,4,265,AS,exp,31,↑,up,↑,0.4484991999925114,True,10,-1,0,3

PB034M28,4,266,AS,exp,32,↓,down,↓,0.6409389000036754,True,10,1,1,4

PB034M28,4,267,AS,exp,40,→,right,→,0.512472800037358,True,9,1,0,4

PB034M28,4,268,AS,exp,35,←,right,→,1.082988700014539,False,9,-1,1,5

PB034M28,4,269,AS,exp,33,→,right,→,1.3221249000052921,True,10,-1,0,5

PB034M28,4,270,AS,exp,39,↑,left,←,0.7341416999697685,False,10,-1,0,5

PB034M28,4,271,AS,exp,48,←,right,→,1.0809320000116713,False,11,-1,0,5

PB034M28,4,272,AS,exp,29,↓,down,↓,0.6803104000282474,True,12,-1,0,5

PB034M28,4,273,AS,exp,43,↑,up,↑,0.5006516000139527,True,12,1,1,6

PB034M28,4,274,AS,exp,48,→,left,←,1.3548553999862634,False,11,-1,1,7

PB034M28,4,275,AS,exp,43,←,left,←,0.6832610999699682,True,12,-1,0,7

PB034M28,4,276,AS,exp,45,↓,down,↓,0.7123329999740236,True,12,1,1,8

PB034M28,4,277,AS,exp,29,↑,left,←,0.682806900003925,False,11,-1,1,9

PB034M28,4,278,AS,exp,50,→,left,←,0.7091726000071503,False,12,-1,0,9

PB034M28,4,279,AS,exp,39,←,left,←,0.9556607999838889,True,13,-1,0,9

PB034M28,4,280,AS,exp,41,↑,up,↑,0.47512190003180876,True,13,1,1,10

